Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,4.17,4.31,5.00,5.00,5.00,5.00,5.00,3.61,1.67,2.36,3.75,4.17,5.49,3.72,2.00,4.75,3.50,3.04,3.75,3.92,4.25,5.33,5.50,5.08,5.58,5.00,5.00,5.00,5.42,6.21,6.00,5.54,6.42,6.83,7.17,6.50,5.38,5.00,5.21
Algeria,6.18,7.29,6.53,5.28,5.63,4.17,3.06,3.82,4.72,4.45,4.17,4.51,5.63,6.90,8.67,6.00,3.50,8.50,8.50,8.88,9.25,10.00,10.00,10.00,10.00,7.25,4.58,5.75,6.50,7.13,6.71,4.21,1.79,2.67,3.63,3.63,2.08,2.38,3.75
Angola,5.00,4.51,4.65,4.65,5.83,5.83,5.83,5.42,4.10,2.78,2.01,2.99,3.33,2.50,0.88,3.50,4.54,9.25,9.13,6.63,3.50,5.38,7.75,8.00,9.17,9.42,8.83,9.83,9.38,9.71,7.83,4.33,4.38,4.25,4.58,7.63,5.25,7.46,9.38
Argentina,2.78,3.06,2.78,3.54,3.54,3.68,3.96,4.72,5.70,5.07,5.63,5.00,5.00,5.64,7.50,7.25,6.67,6.38,5.50,6.38,7.50,8.00,9.00,8.71,8.50,7.75,7.46,8.13,6.96,6.33,6.50,6.04,5.67,5.25,5.33,5.79,4.50,4.67,5.63
Armenia,,,,,,,,,,,,,,,,4.50,4.83,6.75,6.00,6.50,6.67,7.00,7.00,6.54,6.50,6.29,5.50,5.25,6.17,6.50,6.50,6.50,6.50,6.50,6.50,6.50,5.75,5.63,5.63
Australia,7.50,7.36,5.97,5.00,5.00,4.17,3.33,4.03,4.31,4.17,4.58,5.28,5.00,5.99,7.96,7.63,8.83,8.00,8.00,8.00,8.00,7.75,9.13,8.63,8.50,6.63,6.17,6.50,7.33,7.25,6.79,6.63,6.50,6.50,6.71,7.75,5.42,4.00,5.75
Austria,8.47,7.50,7.50,7.50,7.08,7.29,7.15,7.29,7.50,7.02,5.14,5.00,6.04,6.68,6.50,6.50,6.79,7.42,7.50,7.42,7.33,7.00,7.00,7.17,7.50,6.38,5.83,5.42,6.00,6.00,6.63,6.50,6.71,7.00,7.46,7.71,4.79,4.17,5.58
Azerbaijan,,,,,,,,,,,,,,,,6.21,5.50,6.00,6.00,7.00,7.50,7.50,7.75,7.92,5.25,4.25,3.79,1.46,1.00,3.50,7.00,6.96,6.08,7.00,7.71,7.83,3.38,6.08,9.63
Bahamas,,6.67,6.67,6.74,6.67,6.67,6.67,6.67,6.60,5.14,5.00,5.00,5.35,6.26,6.17,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.50,6.04,6.50,6.50,5.58,5.50,5.13,5.00,5.42,5.79,6.00,6.00,5.71,6.08,4.25,3.67,3.79
Bahrain,5.70,5.49,5.00,5.00,4.51,4.17,4.10,4.10,5.00,5.00,5.00,5.00,5.00,5.54,5.83,4.71,5.50,6.00,6.00,6.00,6.00,6.00,9.00,10.00,10.00,6.21,6.79,7.50,6.88,5.67,5.25,3.67,1.88,2.00,4.33,4.08,2.29,1.67,3.50
Bangladesh,4.72,4.17,4.17,4.17,3.40,2.64,2.78,3.20,4.38,4.17,4.17,4.17,4.17,4.67,3.79,5.29,5.50,5.50,5.50,5.38,5.50,5.75,5.50,5.83,6.00,5.13,4.96,5.08,5.04,5.00,5.00,5.42,5.04,5.21,5.04,5.29,4.83,4.54,4.67
Belarus,,,,,,,,,,,,,,,6.00,6.38,7.42,7.00,6.50,6.50,6.79,7.00,7.33,7.50,6.67,6.54,7.38,6.50,7.25,7.71,7.33,7.00,7.00,8.67,6.67,5.25,5.50,6.33,5.75
Belgium,8.27,7.50,8.13,7.85,6.74,6.32,6.25,6.04,5.42,4.93,4.38,5.56,6.25,6.56,6.67,6.96,7.67,8.00,8.00,8.00,7.88,7.25,7.38,8.00,7.67,6.17,5.50,5.46,5.92,6.25,6.46,6.50,6.50,6.50,7.04,7.25,4.50,3.96,5.13
Bolivia,2.78,0.97,1.25,2.64,4.72,4.17,4.65,5.42,5.83,5.14,5.00,5.00,5.35,6.46,6.63,5.83,6.00,6.00,6.00,5.25,4.38,4.92,6.00,6.42,7.13,6.75,8.83,8.00,8.21,8.00,8.00,7.04,6.17,5.42,4.46,4.21,3.67,3.13,3.75
Botswana,,6.39,7.22,7.50,7.36,6.67,6.67,5.97,6.60,5.35,5.00,5.00,5.00,7.15,8.83,9.71,7.88,6.58,6.50,6.50,6.08,7.13,8.38,9.00,9.67,8.67,2.83,4.88,7.13,8.00,8.58,8.13,6.29,6.75,7.00,6.13,5.38,5.25,5.79
Brazil,3.33,4.51,4.65,4.72,5.14,4.58,5.21,4.10,5.56,4.45,4.72,4.45,4.17,4.68,4.42,4.25,4.50,5.50,5.50,5.67,6.29,6.50,6.33,7.04,6.88,6.88,6.42,6.33,6.46,6.29,5.67,5.33,4.63,3.79,3.96,5.00,2.75,3.75,4.00
Brunei,8.34,8.34,8.34,8.34,8.34,8.34,8.61,9.17,9.17,9.17,9.17,9.17,9.17,9.24,9.79,9.50,10.00,10.00,10.00,6.50,6.50,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.29,1.50,1.50,1.75,3.88,4.17,3.92,3.38
