Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,,,61.96,61.58,62.00,62.46,62.17,53.04,42.67,48.46,57.38,60.04,66.00,53.59,53.65,60.76,62.35,62.92,64.17,66.81,65.42,68.17,69.46,70.90,72.40,69.02,67.75,66.56,67.35,67.13,67.56,67.33,68.88,68.75,71.60,70.17,64.65,67.81,66.85
Algeria,55.83,58.38,56.50,54.96,58.21,54.50,56.54,59.17,52.58,53.17,53.63,53.50,56.92,58.86,58.50,52.48,56.02,62.09,61.79,65.50,71.38,77.19,77.92,78.04,77.25,73.40,71.90,71.90,71.71,71.83,71.02,65.48,61.77,61.79,63.52,63.40,57.81,60.83,66.56
Angola,,,45.83,45.88,48.33,48.83,48.67,51.79,50.92,45.63,43.67,51.63,51.63,47.57,46.23,43.06,46.54,51.32,52.15,54.88,57.73,61.46,68.46,70.02,71.65,71.00,69.48,69.63,71.29,71.81,69.10,62.75,56.40,58.10,56.25,59.02,53.52,58.69,65.48
Argentina,38.46,39.29,41.54,44.33,46.25,45.63,52.29,58.00,65.17,67.25,72.79,71.08,73.25,74.06,75.04,72.66,69.85,68.69,51.94,58.98,67.40,70.08,74.60,74.69,71.58,66.40,70.06,73.88,71.00,67.54,63.67,66.15,63.88,68.31,63.65,61.40,61.35,65.08,64.81
Armenia,,,,,,,,,,,,,,,,60.38,56.60,59.69,60.19,60.73,64.77,66.35,66.90,68.21,67.56,63.98,62.63,63.60,63.75,63.65,62.56,61.42,62.40,63.10,65.00,68.50,64.67,64.08,61.33
Australia,84.04,82.96,79.13,76.58,78.67,78.83,78.67,79.42,81.21,81.50,81.67,82.04,83.13,84.73,79.54,80.30,82.31,80.61,82.54,81.38,82.25,82.38,82.25,81.81,80.48,77.81,78.52,76.85,77.83,78.40,78.46,76.73,78.42,78.13,78.19,79.48,76.29,80.02,80.54
Austria,88.33,85.63,83.79,84.67,85.50,86.38,86.75,86.92,88.88,87.96,85.96,84.00,86.58,86.95,85.19,83.59,82.19,85.90,86.08,86.15,85.96,84.60,84.00,83.08,83.52,82.38,81.90,82.48,78.27,78.44,80.35,78.21,79.19,80.19,81.04,80.23,76.56,78.44,78.21
Azerbaijan,,,,,,,,,,,,,,,,55.49,58.79,64.83,67.52,68.48,68.17,71.04,71.27,73.25,73.21,74.19,76.54,73.69,71.38,73.06,75.69,69.13,62.04,64.85,69.04,71.71,65.71,71.06,72.38
Bahamas,,71.83,72.00,71.92,71.00,70.00,70.88,71.00,71.08,73.63,74.17,75.00,78.08,81.33,79.54,74.19,73.60,75.32,76.00,77.02,80.50,81.27,80.25,80.56,79.75,78.75,75.96,75.48,75.04,75.21,75.48,75.94,76.06,75.92,75.92,75.15,71.90,71.35,71.50
Bahrain,,60.58,60.67,61.08,60.75,60.29,59.42,61.79,73.00,77.83,77.63,75.54,72.88,73.19,73.75,70.55,71.75,76.42,79.79,80.08,79.48,80.02,81.94,82.46,82.13,78.19,78.40,76.56,72.85,69.69,69.98,69.46,66.48,65.52,66.81,66.17,63.10,63.46,68.56
