Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,6.25,6.46,7.50,7.50,7.50,7.50,7.50,5.42,2.50,3.54,5.63,6.25,8.23,7.42,7.88,8.50,9.00,9.46,9.00,9.42,9.50,9.50,9.50,9.50,9.96,9.17,8.42,8.00,8.83,8.79,8.50,8.04,8.46,8.04,10.63,9.50,8.75,8.96,9.21
Algeria,9.27,10.94,9.79,7.92,8.44,6.25,4.58,5.73,7.08,6.67,6.25,6.77,8.44,10.06,13.17,10.04,13.00,13.29,12.38,14.92,14.88,15.00,15.00,15.00,15.00,13.67,11.88,13.50,14.29,13.67,11.96,9.33,7.42,7.67,8.50,8.88,7.29,8.50,12.13
Angola,7.50,6.77,6.98,6.98,8.75,8.75,8.75,8.13,6.15,4.17,3.02,4.48,5.00,6.75,9.38,9.00,8.83,8.67,8.75,10.00,10.00,11.50,14.50,14.17,14.54,14.08,13.21,12.50,14.29,13.71,13.33,11.50,8.83,9.33,9.96,10.50,9.83,11.50,14.63
Argentina,4.17,4.58,4.17,5.31,5.31,5.52,5.94,7.08,8.54,7.61,8.44,7.50,7.50,8.71,10.29,10.33,10.33,10.29,12.00,13.25,13.38,12.46,12.75,13.00,12.88,11.88,12.63,12.50,11.42,11.33,11.50,11.08,10.67,10.67,10.13,10.42,11.67,12.46,11.83
Armenia,,,,,,,,,,,,,,,,6.96,3.00,5.58,6.00,6.00,8.92,10.00,10.00,9.54,9.83,9.17,8.00,8.00,8.67,8.92,8.83,9.50,9.50,9.50,10.17,10.13,9.25,9.75,9.63
Australia,11.25,11.04,8.96,7.50,7.50,6.25,5.00,6.04,6.46,6.25,6.88,7.92,7.50,9.06,10.21,9.79,10.00,10.21,10.50,10.00,10.00,9.75,10.00,9.83,9.58,10.21,10.50,10.50,10.50,10.50,10.50,10.50,10.17,10.42,10.50,10.75,11.17,12.25,13.00
Austria,12.71,11.25,11.25,11.25,10.63,10.94,10.73,10.94,11.25,10.52,7.71,7.50,9.06,10.44,11.08,10.83,10.50,10.58,10.75,11.17,11.50,11.50,11.67,12.88,13.21,12.63,12.58,12.58,10.88,11.33,13.00,12.17,12.67,13.00,12.79,12.71,12.67,12.92,12.58
Azerbaijan,,,,,,,,,,,,,,,,1.92,5.00,8.25,9.54,8.50,7.38,10.50,12.75,15.00,15.00,14.67,15.00,15.00,15.00,15.00,15.00,13.63,12.04,12.71,13.33,13.88,10.63,13.21,14.63
Bahamas,,10.00,10.00,10.11,10.00,10.00,10.00,10.00,9.90,7.71,7.50,7.50,8.02,9.48,9.21,7.92,7.50,8.00,8.00,8.21,9.08,9.25,8.50,8.50,9.50,9.83,8.63,8.50,6.25,5.50,6.33,7.38,8.29,8.17,8.00,8.00,8.00,6.67,4.50
Bahrain,8.54,8.23,7.50,7.50,6.77,6.25,6.15,6.15,7.50,7.50,7.50,7.50,7.50,9.65,13.33,11.33,9.50,9.50,10.17,10.50,10.50,14.00,14.75,15.00,15.00,13.83,13.75,13.00,12.58,13.33,13.75,11.50,9.75,10.00,10.96,10.17,9.17,9.13,10.50
Bangladesh,7.08,6.25,6.25,6.25,5.11,3.96,4.17,4.79,6.56,6.25,6.25,6.25,6.25,8.50,10.83,11.13,11.00,11.00,11.00,12.46,12.00,11.54,11.29,11.67,11.50,11.50,12.04,12.42,11.75,12.08,12.42,11.79,12.00,11.96,10.96,10.63,11.08,11.46,10.67
Belarus,,,,,,,,,,,,,,,10.00,9.58,9.25,10.50,11.50,10.83,10.50,11.00,11.00,11.00,9.96,8.92,9.08,7.83,8.63,9.42,9.67,9.50,9.88,10.00,10.29,10.25,10.38,11.33,11.13
