Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,7.00,7.00,7.58,7.33,7.50,8.00,9.50,11.17,10.33,8.00,8.00,9.92,10.00,10.33,6.25,6.75,9.92,9.33,10.00,11.00,11.00,11.00,11.00,11.00,11.00,10.92,10.50,10.50,10.50,10.75,11.00,11.00,11.00,11.00,11.00,10.58,10.00,10.13,10.33
Algeria,8.00,9.00,9.00,9.33,10.00,10.00,10.00,10.00,12.00,12.00,12.00,10.17,10.00,9.92,9.00,9.00,9.00,10.08,11.00,11.00,11.00,10.50,10.00,10.04,10.50,10.42,10.50,10.46,10.13,9.58,9.50,9.50,9.50,9.50,9.50,9.08,9.00,8.71,7.83
Angola,5.67,4.75,3.00,3.00,3.17,3.00,3.75,5.67,10.00,10.00,10.00,10.00,10.00,9.75,8.50,6.33,7.00,7.50,9.38,10.21,10.63,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,10.75,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50
Argentina,8.75,9.00,9.00,9.00,9.00,9.67,10.67,12.00,12.00,12.00,12.00,12.00,12.00,12.00,11.50,10.75,9.17,10.54,10.42,10.00,9.58,9.88,10.00,9.96,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.96,10.00,10.00,10.00
Armenia,,,,,,,,,,,,,,,,7.00,7.08,7.54,7.42,7.50,7.50,7.54,7.63,7.96,6.92,7.29,8.38,7.08,7.00,7.00,7.08,7.00,6.79,6.50,6.50,7.38,7.38,7.75,7.00
Australia,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,11.00,12.00,12.00,12.00,12.00,12.00,11.92,10.50,10.00,10.96,10.83,9.96,10.50,10.38,9.63,9.50,9.50,9.92,10.00,10.67,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,10.46,10.50,10.50
Austria,12.00,12.00,12.00,12.00,12.00,12.00,11.50,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,9.33,11.21,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.46
Azerbaijan,,,,,,,,,,,,,,,,7.00,7.08,7.33,7.08,7.58,8.00,8.00,7.63,7.96,7.25,8.46,8.92,7.58,7.42,7.50,7.58,7.50,7.29,6.63,6.50,7.38,7.46,8.38,7.42
Bahamas,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.17,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,11.71,11.50,11.50,11.50
Bahrain,6.00,6.00,6.00,6.00,6.92,9.00,8.58,8.83,9.50,11.83,12.00,12.00,12.00,10.83,10.00,10.00,10.00,11.13,11.50,11.13,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,10.75,10.00,10.00,10.00,10.00,9.96,9.96,10.00,10.00,10.00,10.00
