Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,4.17,4.31,5.00,5.00,5.00,5.00,5.00,3.61,1.67,2.36,3.75,4.17,5.49,3.47,6.79,9.96,10.00,10.00,10.00,9.17,9.00,9.67,10.00,10.00,10.00,7.25,6.88,7.50,8.33,7.13,7.50,8.42,8.50,8.67,8.96,8.50,2.88,9.25,8.54
Algeria,6.18,7.29,6.53,5.28,5.63,4.17,3.06,3.82,4.72,4.45,4.17,4.51,5.63,6.74,6.88,7.46,8.92,8.92,8.42,9.58,9.96,10.00,10.00,9.50,8.96,8.00,8.79,9.00,8.58,8.50,8.50,8.21,7.67,7.50,7.75,7.50,1.96,6.13,8.38
Angola,5.00,4.51,4.65,4.65,5.83,5.83,5.83,5.42,4.10,2.78,2.01,2.99,3.33,5.33,8.75,7.38,8.50,8.75,9.13,10.00,10.00,10.00,10.00,10.00,10.00,7.08,7.08,10.00,10.00,9.96,9.33,8.50,7.04,7.00,7.50,6.13,2.58,3.92,7.63
Argentina,2.78,3.06,2.78,3.54,3.54,3.68,3.96,4.72,5.70,5.07,5.63,5.00,5.00,6.76,9.42,7.04,8.00,5.71,1.00,6.25,10.00,9.17,9.75,10.00,9.67,4.25,7.17,10.00,8.75,8.17,6.25,5.71,5.00,6.88,7.38,3.42,0.92,8.71,8.58
Armenia,,,,,,,,,,,,,,,,9.04,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.04,3.50,7.75,8.67,8.96,9.00,8.67,8.00,8.00,8.33,8.88,4.88,8.08,7.38
Australia,7.50,7.36,5.97,5.00,5.00,4.17,3.33,4.03,4.31,4.17,4.58,5.28,5.00,6.65,8.29,8.21,8.54,7.54,8.50,8.50,9.00,8.25,8.21,8.67,8.33,5.71,6.67,7.33,7.75,7.79,7.83,7.71,7.83,8.00,8.00,7.50,3.08,9.00,8.50
Austria,8.47,7.50,7.50,7.50,7.08,7.29,7.15,7.29,7.50,7.02,5.14,5.00,6.04,6.85,7.92,7.58,8.25,7.63,6.54,6.25,7.00,7.50,7.67,8.29,7.67,4.13,4.08,6.79,6.00,6.17,6.13,5.54,6.67,6.92,7.67,6.63,1.71,6.83,8.50
Azerbaijan,,,,,,,,,,,,,,,,10.00,10.00,9.88,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.50,9.88,8.25,6.75,7.88,9.13,7.17,4.08,5.13,7.00,7.33,3.63,7.00,8.38
Bahamas,,6.67,6.67,6.74,6.67,6.67,6.67,6.67,6.60,5.14,5.00,5.00,5.35,6.93,8.50,7.50,6.50,7.83,8.50,8.08,8.08,8.50,8.50,8.96,9.00,5.67,5.38,5.50,7.00,7.50,7.92,7.71,6.63,6.67,7.29,7.21,1.75,2.50,7.71
Bahrain,5.70,5.49,5.00,5.00,4.51,4.17,4.10,4.10,5.00,5.00,5.00,5.00,5.00,6.38,8.50,7.50,9.00,9.00,9.00,9.00,9.00,9.00,9.38,9.50,9.92,8.54,8.50,9.00,8.17,8.00,8.50,8.17,6.88,6.75,7.92,7.58,3.00,2.04,8.00
Bangladesh,4.72,4.17,4.17,4.17,3.40,2.64,2.78,3.20,4.38,4.17,4.17,4.17,4.17,6.50,8.17,8.33,9.50,9.38,9.08,9.21,9.50,9.25,9.96,10.00,10.00,9.42,9.46,9.58,10.00,9.92,9.79,10.00,10.00,10.00,10.00,10.00,8.83,9.33,9.83
Belarus,,,,,,,,,,,,,,,10.00,8.88,9.00,8.50,8.50,9.00,9.58,10.00,9.33,9.00,9.42,6.25,4.13,8.83,6.75,6.63,7.17,6.58,3.50,3.75,6.33,7.50,1.96,6.33,1.88
Belgium,8.27,7.50,8.13,7.85,6.74,6.32,6.25,6.04,5.42,4.93,4.38,5.56,6.25,6.85,7.96,7.33,8.38,7.88,6.33,6.13,6.54,7.50,7.38,7.50,7.33,4.29,5.00,6.92,5.42,5.00,6.38,6.50,6.50,6.75,6.96,6.50,1.63,5.71,7.88
Bolivia,2.78,0.97,1.25,2.64,4.72,4.17,4.65,5.42,5.83,5.14,5.00,5.00,5.35,7.33,9.33,7.17,8.92,7.71,7.00,8.00,8.46,8.88,8.46,8.42,8.88,6.75,8.83,8.71,9.00,9.08,9.50,9.00,8.67,8.58,9.00,8.92,3.33,7.13,8.83
Botswana,,6.39,7.22,7.50,7.36,6.67,6.67,5.97,6.60,5.35,5.00,5.00,5.00,6.82,8.79,8.67,10.00,9.50,9.21,8.50,8.63,9.00,9.50,9.00,9.00,3.00,3.33,9.75,9.38,9.00,8.79,8.63,8.33,8.75,9.00,8.71,2.50,5.25,8.83
Brazil,3.33,4.51,4.65,4.72,5.14,4.58,5.21,4.10,5.56,4.45,4.72,4.45,4.17,5.89,7.08,3.54,8.79,7.96,7.17,7.00,7.92,8.67,8.50,8.50,8.96,6.33,8.96,9.00,7.88,7.96,7.04,5.38,3.04,5.46,7.38,6.75,2.00,8.50,6.42
Brunei,8.34,8.34,8.34,8.34,8.34,8.34,8.61,9.17,9.17,9.17,9.17,9.17,9.17,8.90,8.08,6.75,8.50,9.00,9.00,8.50,8.50,8.88,8.50,8.04,8.04,4.79,7.50,7.50,7.50,7.08,7.96,7.67,4.00,6.75,7.25,8.63,7.33,6.58,7.38
Bulgaria,7.36,7.22,5.14,5.00,5.35,5.00,3.61,3.26,3.33,3.33,3.68,4.65,4.79,2.95,5.04,7.54,8.25,8.92,8.63,8.96,9.13,9.21,9.25,9.88,9.71,5.75,4.25,6.96,6.50,6.33,6.58,7.00,7.75,8.46,8.50,8.50,2.58,6.63,8.58
Burkina Faso,,3.33,3.33,3.33,3.61,4.17,3.75,3.96,5.00,5.00,4.24,4.24,5.07,7.28,10.00,9.54,9.50,9.71,9.50,8.88,8.33,8.75,8.50,8.50,10.00,9.50,9.17,9.38,9.38,10.00,10.00,9.75,9.00,9.00,9.42,9.71,7.75,8.50,9.46
Cameroon,5.35,5.63,5.49,5.00,5.00,5.35,5.83,5.83,5.42,4.17,3.47,2.50,2.50,5.06,9.50,9.50,9.00,8.83,8.79,9.00,9.00,8.96,8.79,9.00,9.00,8.04,3.88,8.21,8.58,9.33,9.17,9.04,9.21,8.75,8.92,8.79,5.00,6.00,8.79
Canada,8.20,7.22,5.90,5.83,5.90,7.22,7.29,5.90,5.63,5.00,5.00,5.00,5.00,6.70,8.46,7.96,8.79,7.42,7.75,8.00,8.38,8.00,8.25,8.00,6.79,4.21,7.67,7.58,7.50,7.04,7.50,7.00,6.79,7.25,7.58,7.04,2.25,8.08,8.67
Chile,2.22,2.50,2.57,4.38,5.83,5.97,6.18,6.32,6.67,6.67,5.83,5.83,6.53,8.31,9.63,5.79,9.63,9.04,8.00,8.50,9.04,9.50,9.54,9.50,9.00,5.83,8.63,9.63,9.00,9.00,8.25,8.04,7.29,7.25,8.38,8.29,2.00,9.75,7.50
China,7.14,6.39,5.14,5.00,5.00,4.24,4.17,4.45,5.70,5.42,4.79,4.45,6.25,7.71,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.67,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.83,9.92,10.00,7.54,9.71,8.71
Colombia,6.53,5.21,4.79,5.00,4.45,4.17,4.58,5.83,5.97,5.00,5.00,5.00,5.00,5.28,8.75,4.96,8.33,7.50,7.21,7.67,8.54,8.67,9.04,9.21,9.38,7.63,7.67,8.83,9.00,8.92,8.83,8.58,7.83,7.50,7.96,8.42,3.33,5.25,9.25
Congo,3.96,3.33,3.40,4.17,4.17,4.17,4.17,3.89,3.33,3.33,3.82,4.17,4.17,5.39,1.13,9.83,9.88,8.88,8.04,5.29,8.38,9.63,10.00,8.88,9.00,10.00,10.00,10.00,9.13,9.33,9.33,9.00,8.50,7.79,8.08,8.25,4.00,3.75,8.83
