Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,,,,,,,,,,,,,0.75,0.00,0.50,1.92,1.50,1.50,1.50,2.75,3.13,3.50,3.50,2.58,2.50,3.08,3.21,3.00,2.58,3.21,3.50,3.50,3.50,3.67,4.50,3.83,3.50,3.50,3.71
Algeria,2.42,2.71,3.33,3.13,3.29,2.50,1.42,1.08,1.00,0.33,2.04,1.79,0.54,1.38,3.17,2.46,2.00,4.25,4.50,4.96,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.83,4.38,4.38
Angola,,,,,,,,,,,,,0.00,0.00,0.25,0.08,0.00,1.25,1.50,1.13,1.50,1.63,2.50,2.13,1.38,2.75,4.21,3.50,4.50,4.75,4.75,4.17,4.21,3.83,3.83,3.50,3.33,1.50,2.75
Argentina,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,2.75,1.38,1.21,2.92,3.50,3.50,3.50,3.13,0.00,0.00,0.00,2.25,3.25,2.71,2.42,3.13,3.50,3.71,3.46,3.17,2.58,2.08,2.08,3.25,3.88,4.00,4.08,4.00,3.54
Armenia,,,,,,,,,,,,,,,,1.25,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.04,1.00,1.63,3.00,3.50,2.17,1.42,1.17,1.50,1.50,1.50,2.17,2.50,2.88,2.83,3.00
Australia,2.83,2.42,2.21,2.88,2.83,2.75,2.38,2.92,2.67,2.00,2.00,1.75,1.38,1.29,1.50,1.88,1.50,1.50,1.50,2.00,2.42,2.00,2.00,1.83,2.33,1.67,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.92,2.00,1.50,1.75,1.50,1.25
Austria,3.50,3.46,3.38,3.33,3.13,2.67,2.63,2.42,2.33,2.38,2.79,2.79,2.54,2.17,2.33,1.63,2.00,2.00,2.00,1.67,1.33,1.00,1.00,1.00,0.67,0.88,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Azerbaijan,,,,,,,,,,,,,,,,1.13,1.00,1.33,1.50,1.50,1.50,1.50,1.50,1.50,1.50,3.08,4.00,4.00,4.00,4.00,4.42,4.54,3.58,3.50,3.50,3.50,3.50,3.50,3.50
Bahamas,,0.71,0.96,1.50,1.00,1.00,0.88,0.96,1.00,1.29,1.29,1.29,0.92,1.25,1.29,1.96,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.54,1.50,1.88,2.00,1.17,1.00,1.29,1.50,2.08,2.50,2.50,2.83,3.21
Bahrain,,2.63,3.33,3.38,2.92,2.79,2.25,2.29,2.33,2.58,2.38,2.58,2.42,2.13,1.92,2.00,2.50,2.83,3.00,3.00,3.00,2.00,2.00,2.00,1.58,2.67,3.50,3.50,3.29,2.67,2.75,2.67,3.25,2.50,1.50,1.08,1.46,1.50,1.50
Bangladesh,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,2.04,2.33,1.21,1.42,1.00,1.17,1.00,1.00,1.00,1.33,1.96,2.00,1.88,1.17,1.00,1.58,2.46,2.71,2.25,1.88,2.50,2.79,3.33,3.50,3.50,3.50,3.50,3.83,3.67
Belarus,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.79,0.92,1.17,0.25,0.00,0.00,0.00,0.38,0.92,1.29,1.50,1.33,1.50,1.50
Belgium,2.08,2.00,2.00,1.96,1.83,1.67,1.50,1.38,1.42,1.29,1.42,1.50,1.42,0.92,1.00,0.50,0.50,0.96,1.00,0.88,0.58,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.21,0.00,0.00,0.33,0.13
Bolivia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.88,1.21,1.92,3.13,3.33,2.75,3.58,3.17,3.00,2.79,2.50,2.50,2.63,2.75,3.67,3.58,3.08,4.83,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.75,4.67,4.21,3.63,2.75,2.25
Botswana,,3.96,4.79,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.75,5.00,4.63,4.50,4.50,4.75,5.00,4.71,4.25,4.00,4.00
Brazil,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,4.17,4.13,4.13,4.17,4.04,3.42,3.50,3.33,3.50,1.83,1.92,2.58,1.88,1.29,0.79,1.71,4.63,5.00,5.00,4.79,4.96,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Brunei,,,,,,,,,,,,,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,2.50,2.50,1.58,1.54,2.00,1.50,1.50,3.33,3.71,4.00,3.54,4.00,4.00,4.25,4.13,4.00,3.96,3.54
Bulgaria,,,,,,,,,,,,,1.13,0.00,0.96,1.79,2.50,2.50,2.50,2.83,3.46,3.33,2.83,2.29,1.79,2.42,3.38,3.50,3.50,3.50,3.50,3.50,3.88,4.00,4.00,4.00,4.00,4.00,3.58
Burkina Faso,,2.25,2.71,3.50,3.42,3.13,3.04,2.79,2.38,2.63,2.13,1.54,2.58,2.42,2.00,2.50,1.67,2.00,2.00,2.00,1.83,1.50,2.00,2.00,3.00,4.00,4.00,4.00,3.17,1.92,1.50,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cameroon,0.71,0.00,0.04,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,1.04,1.29,1.50,1.50,1.67,3.50,3.50,3.71,3.63,3.33,3.13,2.50,2.79,2.71,2.79,2.33,2.00,2.58,2.71
Canada,1.08,1.00,1.00,1.13,1.50,1.33,1.38,1.29,1.17,1.00,1.00,0.92,0.83,0.67,0.96,0.88,1.00,1.00,1.00,0.96,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.42,1.50,1.50,1.50,1.50,1.50
Chile,0.25,0.00,0.29,1.29,1.46,1.71,1.13,0.83,3.50,3.92,4.08,3.96,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.13,4.13,3.50,3.50,3.04,2.50,2.33,3.42,3.04,3.00,3.00,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50
China,,3.38,1.54,2.50,3.00,2.21,2.79,3.67,3.58,2.71,2.00,3.13,2.83,3.00,3.50,4.29,3.67,4.00,4.00,4.21,4.08,4.21,4.50,4.50,4.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Colombia,2.88,2.00,2.83,3.88,3.54,3.50,3.63,3.83,4.50,4.50,4.50,4.67,3.58,3.33,3.50,3.50,3.50,3.50,3.50,3.71,3.88,3.67,3.50,3.50,3.33,3.50,3.50,2.75,3.58,3.50,3.67,4.00,4.00,4.00,4.46,4.08,4.50,4.50,4.29
Congo,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.42,0.00,0.04,0.13,0.00,0.00,0.00,0.00,0.00,1.50,1.50,1.33,2.33,5.00,5.00,4.83,4.50,4.79,4.50,3.75,2.38,1.38,0.42,1.38,0.88,1.67
"Congo, DR",0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.50,0.50,0.50,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Costa Rica,0.00,0.00,0.00,0.92,1.29,2.25,1.79,1.50,2.58,1.92,1.88,1.50,1.96,2.00,2.71,2.04,2.00,2.00,2.00,1.25,1.13,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.42,2.50,2.50,2.50,2.88,3.17,2.83,2.17,3.00,3.50,2.88
Cote d'Ivoire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.17,0.50,0.92,0.58,0.00,0.00,0.00,2.63,3.50,3.00,1.50,1.50,1.50,2.50,2.13,2.29,2.58,2.54,2.33,1.75,2.00,2.00,2.25,0.00,1.33,0.13,0.00
Croatia,,,,,,,,,,,,,,,,1.83,2.00,2.38,2.50,2.50,2.50,3.00,3.00,2.08,2.00,2.75,3.50,3.50,3.50,3.50,3.46,3.08,3.50,3.50,3.50,3.50,3.88,4.00,3.63
Cuba,,,,,,,,,,,,,0.00,0.00,0.00,0.50,0.50,0.83,1.00,0.17,0.00,0.00,0.83,2.50,2.29,2.00,1.63,1.50,2.42,2.50,2.13,2.92,3.25,3.08,3.50,3.50,3.50,2.42,2.92
Cyprus,,,,,3.67,3.42,3.38,3.08,2.96,2.50,3.17,3.04,2.29,2.08,2.17,2.54,3.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,1.58,0.00,0.92,0.17,0.50,1.17,0.50,0.50,1.00,0.75,0.50,0.83,1.00
Czech Republic,,,,,,,,,,,,,2.25,2.54,2.38,2.63,2.67,2.83,3.00,3.38,3.13,2.50,2.13,1.75,1.50,1.50,1.92,2.00,2.00,2.04,2.50,2.50,3.17,3.50,4.25,4.29,4.46,4.50,4.50
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,1.83,1.79,1.71,1.96,2.88,2.50,1.92,2.04,1.54,1.75,2.04,1.96,1.71,2.29,2.29,0.00,0.00,2.83,3.00,3.29,3.92,3.58,3.46,2.71,2.29,2.50,2.58,3.58,4.00,4.00,3.92,3.75,3.50,3.50,3.75,3.50,3.50,3.50,3.50
Dominican Republic,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.54,0.00,0.00,0.00,0.00,0.38,0.50,0.13,0.00,0.00,0.08,0.50,0.50,0.50,0.50,1.25,1.21,1.00,0.75,0.50,1.00,1.08,1.50,1.79,2.00,2.00,2.08,3.33,3.50
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,2.63,2.92,2.42,2.00,2.46,2.33,2.50,2.50,2.50,1.50,1.08,1.00,1.00,1.00,0.88,2.33,2.50,1.75,1.25,1.00,1.00,1.00,1.00,1.04,1.46,1.00,0.92,1.83,2.29
Egypt,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.50,2.29,2.58,3.50,2.92,2.00,1.83,2.00,1.38,0.88,1.25,1.63,1.50,1.21,3.00,3.00,3.33,3.25,2.50,1.00,0.75,0.00,0.00,0.50,2.00,1.50,1.50,1.00
El Salvador,0.00,0.00,0.00,1.54,2.29,1.92,2.75,2.50,2.08,2.21,2.17,2.08,2.08,2.00,2.08,2.79,3.50,3.33,3.50,2.00,2.00,2.00,2.00,1.79,1.67,1.50,2.25,2.00,1.63,1.50,1.50,1.50,1.50,1.88,2.00,2.00,2.00,2.00,1.58
Estonia,,,,,,,,,,,,,,,,1.33,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.04,1.25,1.67,2.00,2.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.00
Ethiopia,,0.00,0.00,1.13,0.63,0.00,0.00,0.00,0.67,0.79,1.63,2.21,3.33,2.83,1.46,1.33,1.13,0.25,0.38,1.50,1.50,1.50,3.50,3.96,3.67,3.29,2.83,1.50,2.00,2.00,2.00,1.58,1.50,1.25,0.08,0.50,0.13,0.00,0.00
Finland,1.42,1.96,1.63,1.75,2.04,2.00,1.96,2.46,2.08,2.29,2.67,2.67,2.00,2.00,2.00,1.17,1.92,2.00,2.00,2.00,2.25,2.00,1.67,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.63,0.67,1.00,1.00
France,3.04,3.00,3.04,2.83,2.54,2.08,1.92,1.50,1.46,1.46,1.33,1.42,1.13,1.54,1.50,1.29,1.50,1.50,1.50,1.50,1.50,1.21,1.00,1.00,1.00,1.00,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.50
Gabon,2.43,2.38,2.38,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.75,0.83,0.04,0.00,0.00,0.00,0.00,0.58,1.33,1.83,2.00,1.83,3.25,4.00,4.00,3.54,3.75,3.96,3.54,3.96,2.33,1.92,1.17,1.00,1.54,1.21
Gambia,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,1.00,1.00,2.33,0.83,0.50,2.54,2.63,2.83,3.00,3.00,3.00,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.92,2.92,2.83,2.25,0.25,0.00,0.00,0.63,1.13,1.63,2.50
Germany,,,,,,,,1.25,1.46,1.67,2.04,1.75,1.50,1.33,1.50,1.42,1.50,1.50,1.50,1.04,1.00,1.00,1.00,1.00,0.50,0.63,1.00,1.00,1.00,1.00,1.00,0.83,0.88,1.00,0.17,0.00,0.00,0.00,0.00
Ghana,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.75,1.50,0.38,0.38,0.50,0.50,0.79,1.83,2.00,1.67,1.75,1.50,1.50,1.50,1.50,2.46,2.00,1.50,1.75,0.13,0.50,1.75,1.50,1.83,2.92,2.67
Greece,1.71,1.88,1.71,1.79,2.42,2.21,1.88,1.46,1.17,1.63,2.58,3.83,3.54,3.92,3.54,4.21,4.00,3.50,3.50,2.13,1.13,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.92,1.00,1.00,1.00,1.00,1.46,1.50
