Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,5.00,5.00,5.00,5.00,5.00,5.00,4.67,3.75,4.00,4.00,4.00,4.00,4.00,4.00,3.17,2.67,3.58,4.00,4.04,4.88,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Algeria,2.42,2.00,2.00,2.00,3.00,3.00,3.00,1.83,1.00,1.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.29,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.71,2.50,2.50,2.50,2.50,2.29,2.00,2.00,2.00
Angola,3.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,3.00,1.33,0.58,0.00,0.00,1.17,2.00,1.25,1.00,1.00,1.00,1.67,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.21,2.50,2.50
Argentina,3.33,2.00,2.00,2.92,3.00,3.00,3.00,3.00,3.17,4.33,5.00,5.00,5.00,4.42,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.33,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50
Armenia,,,,,,,,,,,,,,,,4.00,4.00,3.92,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.08,3.00
Australia,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Austria,6.00,6.00,6.00,6.00,6.00,6.00,5.92,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Azerbaijan,,,,,,,,,,,,,,,,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.75,3.50,3.50,3.50,3.50,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
Bahamas,,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.83,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Bahrain,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.58,4.00,3.17,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
Bangladesh,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,3.00,3.00,2.08,3.00,3.00,3.00,3.00,2.42,2.50,2.50,2.50,2.75,2.92,1.67,1.21,2.25,2.96,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50
Belarus,,,,,,,,,,,,,,,5.00,5.00,5.00,5.00,5.00,5.00,5.00,3.67,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
Belgium,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Bolivia,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.50,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.92,2.50,2.50,2.50
Botswana,,5.00,5.00,5.00,5.00,5.00,5.08,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Brazil,2.08,3.67,4.00,3.50,4.50,5.00,5.00,5.00,5.00,4.83,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.54,3.50,3.50
Brunei,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Bulgaria,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.75,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Burkina Faso,,1.50,2.00,2.00,2.00,1.50,0.00,0.00,0.00,0.67,2.00,2.00,2.00,2.00,2.00,2.17,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.96,2.50,2.50,2.50,2.50,2.50,2.50,2.42,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Cameroon,2.08,2.00,3.00,3.83,4.00,4.00,4.00,3.50,3.25,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.63,3.50,3.50,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.54,2.50,2.50,2.50
Canada,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Chile,0.00,0.00,0.00,0.83,1.00,1.00,3.83,4.00,4.00,4.00,3.33,3.00,3.00,3.00,2.92,2.58,3.08,4.00,4.00,4.00,4.00,4.13,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50
China,3.00,4.00,4.00,4.00,4.00,2.83,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.46,2.88,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.50,2.50
Colombia,4.00,4.00,4.00,3.83,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.17,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.29,2.50,2.50,2.50,2.50,2.50,2.50
Congo,,2.00,2.00,2.00,1.00,1.00,2.00,3.33,0.33,0.00,1.00,1.00,1.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,3.00,3.00,3.00,3.00,3.00,3.00,3.00
"Congo, DR",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,1.50,1.50,1.50,1.50,1.50,2.00,2.13
