Country,Budget_Balanace,Bureaucracy_Quality,CAXGS,Composite,Corruption,CACC,DebtServ,Democratic_Accountability,Ethnic_Tension,Exchange_Rate,External_Conflict,Inflation,International_Liquidity,Law_Order,Military_Politic,Religious_Tension,GDP
Angola,7.63,1.5,11.5,59.02,2.17,10.5,7.88,2.5,3.0,4.42,10.5,4.75,3.5,2.5,2.0,4.0,70897962732.0277
Albania,6.5,2.0,10.83,70.17,2.5,9.5,9.5,5.0,4.5,10.0,10.58,9.5,3.83,3.0,5.0,5.0,15401826127.2539
Argentina,5.79,3.0,10.08,61.4,2.46,10.42,9.5,4.0,6.0,2.17,9.96,2.75,4.0,2.0,4.5,6.0,447754683615.225
Armenia,6.5,1.0,11.13,68.5,2.0,10.13,9.38,4.0,5.5,10.0,7.38,9.63,2.5,3.0,3.5,5.0,13619290539.2116
Australia,7.75,4.0,11.5,79.48,4.5,10.75,9.0,6.0,3.5,9.54,11.0,9.75,1.5,5.5,6.0,6.0,1394671325960.57
Austria,7.71,4.0,12.5,80.23,4.5,12.71,10.0,6.0,4.0,9.75,11.5,9.75,1.0,6.0,6.0,5.0,444596155845.254
Azerbaijan,7.83,1.0,13.38,71.71,1.5,13.88,9.83,1.5,4.5,10.0,7.38,9.33,3.5,3.5,3.0,4.0,48174235294.1176
Belgium,7.25,4.0,12.5,77.42,4.5,12.0,10.0,6.0,3.0,9.75,11.5,9.54,0.0,5.0,6.0,4.5,535865804349.803
Burkina Faso,5.92,1.0,9.71,64.48,2.5,9.33,10.0,5.0,3.54,9.75,9.0,9.63,0.0,3.5,2.0,4.5,16032813501.6639
Bangladesh,5.29,2.0,11.13,66.15,2.5,10.63,9.42,4.0,2.5,10.0,8.83,8.5,3.5,2.0,2.5,3.0,351231655150.827
Bulgaria,7.63,2.0,12.79,77.27,3.0,13.17,10.0,5.5,4.46,9.79,9.33,9.5,4.0,3.0,5.0,5.0,68881010245.5498
Bahrain,4.08,2.0,11.58,66.17,2.5,10.17,10.0,3.0,4.0,10.0,10.0,9.5,1.08,4.5,3.0,3.0,38653318085.1064
Belarus,5.25,1.5,11.75,65.46,2.0,10.25,9.75,1.0,5.0,9.79,10.0,8.25,1.5,3.5,3.0,5.0,64410122847.3508
Bolivia,4.21,2.5,10.08,65.94,2.0,9.79,9.5,3.42,3.0,10.0,9.5,9.5,4.21,2.5,2.92,6.0,40895322850.9407
Brazil,5.0,2.33,11.25,70.58,2.0,11.0,8.0,5.0,3.0,9.13,10.5,8.75,5.0,2.33,4.0,6.0,1873288205186.45
Botswana,6.13,2.08,13.75,78.44,3.08,14.13,10.0,3.79,4.5,9.63,11.0,9.0,4.71,3.5,5.0,5.0,16725908148.5481
Canada,6.75,4.0,11.5,82.06,5.0,10.5,10.0,6.0,3.5,10.0,11.0,9.96,1.5,5.5,6.0,6.0,1743725183672.52
Switzerland,8.0,4.0,13.5,88.38,5.0,14.5,10.0,6.0,4.0,9.92,10.5,10.0,5.0,5.0,6.0,4.5,721369112726.724
Chile,6.71,3.0,11.54,75.81,4.0,10.54,10.0,5.0,5.0,8.92,10.0,9.5,3.5,4.42,4.5,6.0,278285058719.466
China,5.58,2.0,12.5,72.54,2.0,12.0,10.0,1.5,3.5,9.79,8.25,9.29,5.0,3.5,3.0,3.5,14279968506271.7
Cote d'Ivoire,6.0,0.0,11.25,60.94,2.0,10.5,9.5,4.0,2.0,9.75,9.54,9.75,0.0,2.5,2.58,2.0,60382894697.3557
Cameroon,6.04,1.5,10.21,60.73,1.5,10.5,9.21,2.0,3.0,9.75,9.04,9.96,2.33,2.0,2.54,3.5,39667757527.6578
Colombia,6.42,2.0,10.5,67.44,2.5,10.29,8.71,4.5,5.0,8.88,9.04,9.0,4.08,2.0,2.5,5.0,323031701192.84
Costa Rica,4.92,2.0,11.5,72.9,2.5,10.5,10.0,5.5,6.0,9.83,9.5,9.25,2.17,2.5,6.0,5.0,64417670521.1842
