Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,,,,,,,,,,,,,7.61,5.33,5.88,9.50,9.50,9.50,9.00,9.83,10.13,9.83,9.50,9.96,10.92,10.08,9.71,9.50,10.33,10.04,9.50,9.50,9.50,9.04,11.17,10.83,9.38,10.38,10.13
Algeria,12.04,12.00,11.88,10.50,11.00,11.92,11.54,13.33,12.83,13.50,12.00,11.42,11.29,11.71,13.50,10.58,13.46,13.92,12.96,14.50,15.00,14.88,15.00,15.00,15.00,13.75,12.58,13.75,14.08,13.67,12.33,10.00,6.54,6.17,7.88,8.88,6.92,8.50,12.75
Angola,,,,,,,,,,,,,10.33,9.13,10.88,10.04,10.17,12.33,10.13,11.50,11.50,12.13,12.75,12.50,13.58,13.29,13.00,12.50,13.58,13.46,13.00,11.92,10.00,10.33,10.63,11.50,10.96,12.13,14.13
Argentina,10.33,10.50,10.21,9.00,9.46,8.79,11.29,10.08,9.71,7.42,7.38,8.29,11.00,11.17,8.75,8.71,8.42,9.67,12.38,11.50,13.50,12.63,12.75,13.00,13.00,12.63,12.79,12.50,12.08,11.83,12.00,11.96,10.75,10.75,8.71,10.08,12.29,12.96,12.33
Armenia,,,,,,,,,,,,,,,,8.42,6.00,7.00,7.00,7.00,10.75,11.00,11.00,11.00,11.33,10.67,9.50,9.25,9.33,10.04,10.50,10.50,10.50,10.50,11.17,11.13,10.63,11.25,11.13
Australia,10.54,9.58,9.50,9.21,9.75,9.71,9.50,10.00,10.54,10.88,10.42,9.71,10.21,10.96,10.50,9.67,9.92,10.67,10.75,10.50,10.25,9.75,9.50,9.96,10.08,10.42,11.00,11.00,11.00,10.79,11.00,10.79,10.67,10.92,11.00,11.50,11.83,12.75,13.25
Austria,12.33,12.13,12.29,12.25,12.29,12.25,12.42,12.54,12.00,12.17,12.08,12.00,11.83,11.79,11.88,12.00,11.88,11.88,12.00,12.00,12.00,12.00,12.08,12.67,12.88,12.50,12.50,12.50,12.13,12.17,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.50
Azerbaijan,,,,,,,,,,,,,,,,0.13,4.00,9.04,10.58,9.83,8.71,10.00,10.00,10.83,15.00,14.50,15.00,15.00,15.00,14.79,14.92,13.21,12.50,12.71,12.92,13.38,11.67,12.88,14.63
Bahamas,,11.92,12.50,12.46,12.08,11.00,11.25,11.17,11.13,11.50,11.58,11.83,11.96,11.50,11.08,9.92,9.50,9.50,9.50,9.50,9.50,9.38,9.00,8.54,5.00,7.00,5.71,5.50,7.38,8.00,8.00,8.88,9.50,9.17,9.29,8.63,8.38,7.50,6.04
Bahrain,,12.75,12.08,12.46,12.75,11.42,11.75,12.92,11.54,11.71,11.25,10.83,12.42,13.00,13.00,12.17,11.50,12.00,12.00,12.00,12.00,12.50,12.50,12.50,14.17,13.63,13.29,12.50,12.50,12.83,13.00,12.33,11.63,11.50,11.96,11.58,11.33,11.54,12.00
Bangladesh,9.17,10.00,9.88,8.79,9.25,10.46,9.33,8.71,10.83,11.88,12.71,12.58,11.92,11.00,11.00,11.92,12.00,11.79,11.42,12.21,12.50,12.04,12.13,12.17,12.00,12.00,12.54,12.71,12.25,12.29,12.50,12.29,12.50,12.46,11.63,11.13,11.58,11.96,10.50
Belarus,,,,,,,,,,,,,,,11.50,11.33,11.00,11.00,11.00,11.00,11.00,12.00,12.00,12.00,11.58,11.21,10.88,9.67,10.63,11.21,11.17,11.00,11.38,11.08,11.58,11.75,11.67,11.92,12.00
Belgium,12.00,12.50,12.50,12.50,12.50,12.50,12.50,12.67,12.50,12.50,12.58,13.00,12.96,13.00,12.92,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.50,12.33,12.00,12.25,12.50,12.08,12.00,12.00,12.00,12.25,12.42,12.04,12.50,12.13,12.33,12.38
