Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.25,4.00,4.00,3.83,2.75,2.25,3.00,2.33,2.00,2.00,2.00,2.00,2.00,1.83,1.00,1.00,1.50,1.50,1.92,2.00,2.00,2.00,2.17,2.50,2.50,2.50,2.50,2.50,2.50,2.21,2.00
Algeria,3.00,4.00,4.00,4.00,4.00,4.00,3.92,4.00,3.50,3.00,3.00,3.00,3.00,2.50,2.00,2.00,2.00,1.96,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.92,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.71,1.50
Angola,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.33,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.67,1.50,1.46,1.00,1.00,1.00,1.38,2.17,2.38,2.00,2.04
Argentina,3.67,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.25,3.00,3.00,3.00,2.00,2.00,2.08,3.00,2.92,2.04,2.42,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.17,2.00,2.00,2.00,2.00,2.00,2.00,2.46,2.50,2.21,2.00
Armenia,,,,,,,,,,,,,,,,2.00,2.00,1.96,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.54,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Australia,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.92,4.50,4.50,4.58,5.00,4.63,4.50,4.50,4.50,4.88,5.00,4.67,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50
Austria,5.00,5.00,5.00,5.00,5.00,5.00,5.08,5.00,5.00,5.00,5.00,5.00,5.00,4.42,4.00,4.00,4.00,4.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.92,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50
Azerbaijan,,,,,,,,,,,,,,,,2.00,2.00,2.00,2.00,2.00,2.00,1.67,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50
Bahamas,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,3.25,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.04,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50
Bahrain,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.83,4.00,4.00,4.00,4.00,3.33,3.00,3.00,3.00,3.00,2.63,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.42,2.50,2.83,3.00,3.00,2.58,2.50,2.50,2.50,2.50,2.50,2.92,3.00
Bangladesh,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.00,1.33,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.83,1.00,1.00,1.04,1.50,1.50,2.04,2.50,2.79,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.67,2.50,2.50,2.50,2.50,2.42
Belarus,,,,,,,,,,,,,,,4.00,4.00,3.33,2.83,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.67,1.50,1.54,2.00,2.00,2.00,2.00,2.00,2.00,1.67,1.50
Belgium,6.00,6.00,5.83,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.42,4.83,3.17,3.00,3.00,3.25,4.00,4.00,4.00,4.00,4.00,3.71,3.50,3.50,5.00,5.00,5.00,5.00,5.00,4.96,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50
Bolivia,1.17,1.00,1.00,1.17,2.00,2.00,2.00,2.00,2.00,2.00,2.92,3.00,3.00,3.00,3.00,3.00,3.00,2.92,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.67,1.96,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.71,1.54
Botswana,,3.75,4.00,4.00,4.00,4.42,5.00,5.00,3.50,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.17,3.96,3.50,3.50,3.50,3.50,3.50,3.50,3.54,4.00,4.00,3.67,3.50,3.08,3.00,3.25,3.58
Brazil,3.42,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.75,4.00,3.08,3.00,3.00,3.00,3.00,3.00,3.00,2.83,2.17,4.00,2.33,1.83,1.96,2.00,2.33,3.00,3.00,3.00,2.67,2.50,2.46,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Brunei,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.17,4.00,4.00,4.00,3.58,3.00,3.00,2.67,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.83,3.00,3.00,3.00,3.00,3.00
Bulgaria,4.00,4.00,4.00,4.00,3.92,3.00,3.00,3.08,4.67,5.00,4.25,4.00,4.00,4.00,4.00,4.00,3.25,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.04,2.50,2.75,3.00,3.00,3.00,3.00,2.75,3.00
Burkina Faso,,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,2.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.04,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50
Cameroon,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.42,3.29,3.71,3.75,2.75,2.50,2.17,2.00,2.00,2.00,2.00,1.67,1.50,1.50,1.50,1.50,1.50
Canada,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5.83,4.50,4.50,4.17,5.04,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.79,4.50,4.50
Chile,3.33,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.83,4.00,4.00,4.00,4.00,4.00,4.00,2.71,2.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.17,4.00,4.00,4.00,3.71,3.50
China,4.00,4.00,3.17,3.17,4.00,4.00,4.00,4.00,4.50,4.50,4.00,4.00,2.00,2.00,2.00,2.00,1.08,1.00,1.00,1.92,2.00,2.00,1.88,2.13,2.50,2.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Colombia,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.42,1.58,1.50,2.00,2.00,2.00,2.58,3.00,3.00,3.00,2.83,2.50,2.58,3.00,3.00,3.00,2.67,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.21,2.00
Congo,,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.08,4.00,4.00,4.00,4.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.67,1.50,1.50,1.50,1.50,1.17,1.00,1.00,1.00,1.00,1.13
"Congo, DR",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,1.67,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.21,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.17,1.00,1.00,1.00,1.50,1.50
