Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,,,,,,,,,,,,,8.72,5.92,4.00,4.46,4.50,4.50,5.50,6.50,6.50,7.50,8.00,9.38,9.50,9.50,9.50,8.83,9.33,7.88,7.50,9.33,9.96,9.08,9.75,9.50,9.13,9.00,7.92
Algeria,6.13,6.38,6.17,4.96,5.58,3.21,3.21,6.00,3.75,3.00,0.71,3.42,4.96,6.00,6.17,5.50,4.63,6.00,6.00,7.08,8.33,8.83,9.00,9.00,9.08,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Angola,,,,,,,,,,,,,8.61,7.79,7.88,7.50,8.00,9.00,9.00,8.50,7.00,8.75,9.38,10.00,10.00,10.00,9.71,9.00,9.00,9.00,9.00,9.08,8.83,8.50,7.50,7.88,7.75,8.08,8.50
Argentina,0.00,0.79,1.00,1.63,4.00,3.88,6.42,5.33,6.33,4.67,6.25,6.25,6.00,6.00,4.08,3.33,1.63,1.00,1.00,1.00,3.88,4.75,6.75,7.00,7.00,5.88,6.58,8.71,9.00,9.00,9.00,9.00,9.58,9.88,9.63,9.50,9.50,9.71,9.54
Armenia,,,,,,,,,,,,,,,,8.42,8.33,7.00,7.00,7.00,7.00,9.50,9.50,9.96,9.67,9.50,9.75,10.00,9.67,9.13,9.33,8.83,8.50,8.50,8.83,9.38,9.50,9.50,9.50
Australia,8.00,8.00,7.79,7.04,7.25,8.00,8.29,8.17,8.17,8.00,7.92,8.08,8.00,8.58,8.92,8.00,9.00,9.00,9.00,9.00,9.50,9.50,9.50,9.50,9.50,8.92,8.17,8.50,8.71,9.00,9.00,8.83,8.71,8.50,8.71,9.00,9.00,9.00,9.00
Austria,8.00,7.13,6.67,5.88,5.75,6.50,6.79,7.33,7.46,7.17,7.25,7.04,8.25,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Azerbaijan,,,,,,,,,,,,,,,,9.46,9.50,9.50,9.50,9.50,9.50,9.50,9.75,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.92,9.54,9.04,9.50,9.83,9.83,9.71,9.88
Bahamas,,9.29,9.42,9.00,9.00,9.00,10.00,10.00,10.00,10.00,8.50,8.13,9.54,10.00,9.63,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.96,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.42,9.29,9.50,9.21,9.29,9.13,9.00,8.96
Bahrain,,,,,,,,,,,,,8.13,8.50,8.50,8.50,8.50,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.21,9.50,9.50,9.83,10.00,10.00,10.00,10.00,10.00,10.00,10.00
