Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.17,3.00,3.00,3.00,3.00,3.08,4.08,5.00,5.00,5.00,4.54,3.96,4.00,4.00,4.33,5.00,4.54,4.83,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.50,4.00,4.00
Algeria,2.00,2.00,2.00,2.00,2.08,3.50,4.58,5.00,2.08,2.92,3.00,3.00,4.00,2.50,2.00,1.75,2.58,2.33,2.00,2.00,3.88,4.50,4.50,4.50,4.42,3.63,3.50,3.50,3.50,3.50,3.50,3.50,3.96,3.50,3.50,3.29,3.00,3.38,3.00
Angola,2.00,3.00,3.00,3.00,3.00,2.92,2.00,2.00,1.67,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.71,3.00,2.71
Argentina,3.67,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.08,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.33,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
Armenia,,,,,,,,,,,,,,,,4.00,4.00,4.00,4.00,2.50,2.50,2.79,3.00,3.29,2.25,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.63,4.00,4.00,4.29,4.50
Australia,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Austria,5.58,4.00,4.00,4.92,5.58,6.00,6.00,6.00,6.00,6.00,6.00,5.67,6.00,5.33,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.21,5.50,5.63,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Azerbaijan,,,,,,,,,,,,,,,,2.00,2.92,2.00,2.00,1.92,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50
Bahamas,,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.58,5.00,5.00,5.29,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50
Bahrain,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.17,0.00,0.00,0.00,1.83,2.96,4.50,4.25,2.67,2.63,4.50,4.50,4.50,4.50,4.50,4.17,3.50,3.50,3.50,3.50,3.50,3.21,3.00,3.00,3.00,3.00
Bangladesh,2.42,4.00,3.33,3.00,3.00,2.42,2.00,2.00,2.00,2.92,3.00,3.00,4.42,5.00,5.00,5.00,5.00,4.00,3.67,2.50,2.75,3.00,3.00,3.00,3.00,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.75,4.00,4.00,4.00,4.00,4.00
Belarus,,,,,,,,,,,,,,,3.00,2.58,1.67,1.00,1.00,1.83,1.83,1.00,1.00,1.00,1.21,1.50,1.50,1.50,1.08,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Belgium,5.00,5.00,5.00,5.00,5.00,5.25,5.83,6.00,6.00,6.00,6.00,5.50,6.00,5.58,5.00,5.00,5.00,5.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Bolivia,2.67,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.50,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,6.00,5.92,5.00,4.67,3.63,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.42,3.00,3.00,3.00
Botswana,,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.50,4.17,3.00,3.00,3.00,3.00,3.00,3.33,4.00,4.00,3.88,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.79,4.00,4.00,4.00
Brazil,3.58,4.00,4.00,4.00,4.00,3.83,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.67,4.00,4.00,4.00,4.00,4.17,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.96
Brunei,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,1.00,1.00,1.00,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Bulgaria,5.00,5.00,5.00,5.00,5.00,4.92,3.33,3.08,4.00,4.00,4.00,4.17,5.58,5.83,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.25,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50
Burkina Faso,,1.00,1.00,1.00,1.00,1.00,1.00,1.25,2.00,2.00,2.00,2.00,2.58,2.50,2.17,4.00,4.00,4.00,4.29,4.42,3.50,3.25,3.00,3.00,3.00,3.00,3.00,2.75,2.71,3.00,3.00,3.17,5.00,5.00,5.00,5.00,5.00,5.00,4.46
Cameroon,2.00,2.75,3.00,3.00,3.00,3.00,3.00,2.50,2.00,2.00,2.00,2.50,3.00,2.50,2.00,2.00,2.00,2.00,2.00,2.00,2.67,3.50,3.50,3.50,3.08,2.88,2.50,2.50,2.50,2.17,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Canada,5.92,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5.50,5.50,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5.96
Chile,2.00,2.50,3.25,3.00,3.00,3.00,3.00,3.00,3.00,3.83,4.75,5.00,5.00,4.58,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.50,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.33,5.50
