Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,2.00,2.00,2.00,2.25,3.00,3.00,3.17,4.00,4.58,5.00,5.83,5.00,5.58,6.00,6.00,5.42,5.00,5.00,5.00,5.00,4.63,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50
Algeria,3.92,3.00,3.00,3.50,4.00,4.00,4.00,3.25,3.00,3.33,4.00,4.00,4.00,4.00,3.17,2.00,2.00,2.13,2.00,2.00,2.00,3.42,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.00,3.00,3.00,3.00
Angola,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.42,1.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
Argentina,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Armenia,,,,,,,,,,,,,,,,5.00,5.00,5.04,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.38,4.54,3.75
Australia,5.58,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.33,6.00,5.92,5.00,5.00,4.83,3.00,3.67,4.00,4.00,3.71,3.50,3.50,3.50,3.96,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.58,3.50,3.50,3.50,3.50,3.50
Austria,6.00,6.00,5.33,5.17,6.00,6.00,6.00,6.00,6.00,6.00,5.75,5.00,5.00,5.00,5.00,4.08,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
Azerbaijan,,,,,,,,,,,,,,,,4.00,4.00,4.00,4.00,4.00,4.00,4.33,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50
Bahamas,,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.33,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.92,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
Bahrain,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.83,4.00,4.92,5.00,4.83,4.33,4.00,4.00,4.00,4.00,4.08,5.00,5.00,5.00,5.00,5.00,5.00,4.58,4.50,4.50,4.21,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
