Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,5.33,6.00,6.00,6.00,6.25,6.54,6.96,6.75,4.58,4.00,4.21,4.50,4.50,5.29,8.50,8.50,7.50,7.17,7.50,5.08,4.50,4.50,4.50,7.71,8.46,6.92,6.88,6.50,6.00,5.08,5.00,6.38,4.21,4.17,6.38,4.67,4.63,4.04,4.42
Algeria,5.55,6.00,4.83,4.29,4.58,5.50,6.25,7.13,5.96,4.50,4.46,5.25,5.71,5.42,3.83,4.21,4.71,5.38,5.50,6.08,6.79,7.92,8.46,9.75,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Angola,4.00,4.00,2.83,2.75,3.00,3.08,3.00,3.00,3.46,2.79,2.00,2.38,2.71,2.17,0.63,1.00,1.13,1.00,1.00,2.00,3.63,4.00,6.50,7.33,8.67,9.00,8.42,8.00,8.29,8.46,7.83,7.83,6.50,6.00,6.13,5.25,4.08,2.92,3.88
Argentina,1.80,1.54,2.00,2.92,3.33,3.54,2.42,4.79,6.96,6.38,6.00,5.29,5.17,5.17,7.21,7.92,5.08,5.00,3.50,4.00,2.13,2.50,5.00,5.00,5.00,5.75,6.38,6.50,6.83,6.83,6.75,7.00,7.08,6.54,6.67,4.96,4.04,4.21,4.96
Armenia,,,,,,,,,,,,,,,,5.50,6.00,5.71,5.50,5.50,5.50,7.50,7.50,7.96,8.00,7.58,5.75,5.25,4.67,4.00,4.00,4.00,4.00,4.00,3.67,3.50,3.50,3.04,3.00
Australia,8.52,8.33,7.75,7.50,8.00,8.50,8.96,9.00,8.88,8.00,8.00,8.33,8.21,7.50,6.38,5.21,5.00,5.00,5.00,5.00,3.75,5.00,5.00,4.50,3.08,3.21,3.00,3.00,3.00,3.00,3.00,2.63,2.17,2.00,2.21,2.25,1.75,2.00,2.25
Austria,8.55,8.50,8.13,8.42,9.00,9.00,9.00,9.00,9.71,9.50,9.50,9.50,9.50,9.50,9.33,9.08,9.50,9.50,9.50,9.17,9.50,9.50,8.50,2.50,3.50,5.38,5.50,5.08,4.13,4.00,4.00,4.00,3.54,3.50,3.96,4.00,3.63,3.33,3.42
Azerbaijan,,,,,,,,,,,,,,,,9.00,8.50,8.50,8.50,8.29,8.00,8.33,8.75,8.88,9.50,9.50,9.50,9.83,9.21,9.50,9.08,8.96,8.29,7.83,7.71,7.83,8.00,8.00,5.38
Bahamas,,8.00,8.00,8.00,8.00,8.00,8.00,8.00,7.96,7.50,7.50,7.50,7.71,8.33,8.25,0.00,0.00,0.00,0.00,2.71,6.79,7.00,7.00,9.29,10.00,9.67,9.50,9.50,9.13,9.00,8.58,7.92,7.21,7.00,7.29,7.50,7.50,7.17,6.42
Bahrain,6.25,5.79,5.50,5.50,5.00,5.00,5.00,5.25,7.50,7.50,7.50,7.50,7.17,8.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,7.50,6.42,5.92,5.50,3.63,0.67,1.25,4.00,5.00,4.00,3.00,3.00,2.54,2.46,2.00
Bangladesh,4.36,4.00,3.75,3.42,2.67,2.75,2.96,3.71,4.88,4.63,5.00,5.00,5.13,5.33,6.17,5.46,5.50,5.50,5.00,7.00,6.96,7.25,6.54,6.83,7.00,7.29,7.50,7.71,7.71,7.29,7.50,8.17,9.00,9.00,8.42,8.13,8.17,8.00,8.00
Belarus,,,,,,,,,,,,,,,,9.29,9.50,9.00,8.50,9.17,9.50,9.50,9.50,9.50,8.67,7.08,6.08,5.17,4.63,4.50,4.50,4.50,4.13,4.42,4.21,4.25,4.33,4.08,4.00
Belgium,8.14,8.00,8.00,8.83,9.00,9.00,8.75,8.50,8.96,8.50,8.71,9.08,9.50,9.33,8.92,8.50,8.50,8.50,8.50,8.50,8.50,8.50,7.88,8.00,8.00,8.00,7.75,6.04,3.79,3.50,3.50,3.54,3.04,3.25,3.50,3.50,2.83,2.83,3.38
Bolivia,1.80,1.38,1.25,1.71,3.21,4.00,4.75,6.38,6.88,6.00,6.00,6.00,6.38,6.00,4.33,5.08,6.00,6.00,6.00,5.75,4.92,4.71,4.83,4.25,6.25,7.25,7.17,7.00,7.58,7.67,7.50,8.00,7.67,7.08,6.54,7.00,6.88,6.63,6.83
Botswana,,5.17,4.83,5.17,5.63,6.29,6.54,7.00,7.33,7.63,7.50,7.50,8.04,8.29,7.50,7.46,7.50,7.50,7.50,7.50,9.17,9.50,9.50,9.67,10.00,10.00,9.67,8.63,8.63,9.00,8.92,8.63,8.33,8.50,9.00,9.00,9.00,9.00,9.00
Brazil,3.84,4.33,4.00,3.83,6.13,5.42,5.00,6.08,7.08,5.63,5.83,5.04,5.00,5.83,7.96,7.21,6.50,6.21,5.00,5.00,5.83,6.42,7.88,8.29,8.46,8.50,8.50,8.67,8.54,8.50,8.50,8.08,6.17,6.21,6.96,6.75,6.13,6.50,6.75
Brunei,9.44,9.50,9.25,9.00,9.00,9.00,9.17,9.50,9.50,9.50,9.50,9.50,9.50,9.67,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.54,9.50,9.50,9.54,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Bulgaria,8.00,7.88,6.25,6.00,6.04,5.50,4.79,3.88,3.54,4.21,5.25,5.50,4.67,2.83,3.75,5.29,4.00,4.00,4.00,4.21,4.50,4.50,4.50,4.25,2.58,2.58,1.92,2.29,2.83,2.67,3.63,2.88,3.25,3.71,4.46,4.50,4.50,4.50,4.63
Burkina Faso,,4.00,4.00,4.00,4.00,3.83,4.25,4.88,5.04,5.67,6.00,6.00,6.21,5.33,3.00,4.17,4.83,4.50,4.50,4.50,4.50,4.50,4.50,4.50,5.50,7.00,7.33,7.88,7.79,7.50,7.50,7.63,8.00,8.00,8.00,7.75,7.00,7.38,7.96
