Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,2.08,2.15,2.50,2.50,2.50,2.50,2.50,1.81,0.83,1.18,1.88,2.08,2.74,1.53,0.00,0.24,0.50,0.50,0.50,0.88,0.58,0.83,1.00,1.00,1.00,0.75,0.79,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.17,1.50,1.50,1.33
Algeria,3.09,3.65,3.26,2.64,2.81,2.08,1.53,1.91,2.36,2.22,2.08,2.26,2.78,2.12,0.63,0.73,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.46,1.33,1.42,1.50,1.50,1.50,1.50,1.50,1.50,1.21,1.00,1.00,1.00,1.00,1.00,0.92
Angola,2.50,2.26,2.33,2.33,2.92,2.92,2.92,2.71,2.05,1.39,1.01,1.49,1.67,1.25,0.04,0.37,0.50,0.00,0.13,0.38,0.21,0.38,0.50,1.00,1.33,1.42,1.50,1.50,1.50,1.50,1.50,1.50,1.17,1.00,1.00,0.88,0.50,0.50,0.50
Argentina,1.39,1.53,1.39,1.74,1.77,1.84,1.98,2.36,2.85,2.54,2.81,2.50,2.50,2.90,3.50,3.08,3.50,3.50,3.13,2.75,1.79,1.96,2.00,2.00,2.00,2.38,2.50,2.50,2.50,2.50,2.50,2.50,2.83,3.00,3.00,2.58,2.50,2.50,2.50
Armenia,,,,,,,,,,,,,,,,0.03,0.00,0.00,0.00,0.00,0.46,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Australia,3.75,3.68,2.99,2.50,2.50,2.08,1.67,2.01,2.15,2.08,2.29,2.64,2.50,3.58,4.96,4.23,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Austria,4.24,3.75,3.75,3.75,3.54,3.65,3.58,3.65,3.75,3.51,2.57,2.50,2.99,3.92,5.00,4.59,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Azerbaijan,,,,,,,,,,,,,,,,0.03,0.00,0.04,0.50,0.50,0.50,0.50,0.75,1.00,1.00,1.42,1.58,1.88,1.71,2.00,2.00,2.00,1.54,1.00,1.00,1.00,1.00,1.00,1.00
Bahamas,,3.33,3.33,3.37,3.33,3.33,3.33,3.33,3.30,2.57,2.50,2.50,2.67,3.38,3.96,3.33,4.00,4.00,4.00,4.00,4.29,4.00,4.00,4.00,4.00,3.67,3.50,3.50,4.00,4.00,4.00,3.71,3.79,4.00,4.00,4.00,4.00,4.00,4.00
Bahrain,2.85,2.74,2.50,2.50,2.26,2.08,2.05,2.05,2.50,2.50,2.50,2.50,2.50,2.94,3.50,2.80,3.50,3.50,3.54,3.50,3.50,3.50,3.50,3.50,4.75,4.88,4.96,5.00,3.50,3.50,3.50,3.83,4.00,4.00,4.00,4.00,3.54,3.50,3.50
Bangladesh,2.36,2.08,2.08,2.08,1.70,1.32,1.39,1.60,2.19,2.08,2.08,2.08,2.08,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.50
Belarus,,,,,,,,,,,,,,,0.50,0.39,0.50,0.13,0.00,0.38,0.88,1.00,1.00,1.00,1.00,0.79,1.00,1.50,1.50,1.50,1.50,1.50,1.50,1.92,2.00,1.75,1.50,1.63,1.50
Belgium,4.13,3.75,4.06,3.92,3.37,3.16,3.13,3.02,2.71,2.47,2.19,2.78,3.13,3.92,5.00,4.52,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.75,5.00,5.00,5.00,5.00,5.00,5.00
Bolivia,1.39,0.49,0.63,1.32,2.36,2.08,2.33,2.71,2.92,2.57,2.50,2.50,2.67,2.25,0.50,0.38,0.50,0.50,0.50,0.50,0.50,0.38,0.33,0.04,0.42,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.83,1.00,1.00,1.00,1.00,0.88,0.50
Botswana,,3.20,3.61,3.75,3.68,3.33,3.33,2.99,3.30,2.67,2.50,2.50,2.50,2.58,1.96,1.47,2.08,2.00,2.50,2.13,1.92,2.25,2.04,2.50,2.00,2.00,1.92,2.38,2.50,2.50,2.50,2.42,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Brazil,1.67,2.26,2.33,2.36,2.57,2.29,2.60,2.05,2.78,2.22,2.36,2.15,2.08,2.36,2.50,1.73,2.08,2.08,2.33,1.54,1.50,1.46,1.88,2.00,2.50,2.50,2.50,2.67,3.00,3.00,2.75,2.50,2.50,2.50,2.50,2.50,2.25,2.21,2.00
Brunei,4.17,4.17,4.17,4.17,4.17,4.17,4.31,4.58,4.58,4.58,4.58,4.58,4.58,4.45,4.50,4.17,5.00,5.00,5.00,4.50,4.29,4.46,4.00,4.00,4.00,3.67,3.50,3.50,4.50,4.50,4.50,4.46,4.00,4.00,4.00,4.00,4.38,4.33,4.00
Bulgaria,3.68,3.61,2.57,2.50,2.67,2.50,1.81,1.63,1.67,1.67,1.84,2.33,2.40,2.72,2.83,0.73,1.00,1.00,1.00,1.00,1.46,1.33,1.50,1.50,1.50,1.71,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.21,2.50,2.50,2.50,2.50,2.50
Burkina Faso,,1.67,1.67,1.67,1.81,2.08,1.88,1.98,2.50,2.50,2.12,2.12,2.54,2.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cameroon,2.67,2.81,2.74,2.50,2.50,2.67,2.92,2.92,2.71,2.08,1.74,1.25,1.25,1.01,0.00,0.03,0.00,0.08,0.46,0.00,0.13,0.04,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Canada,4.10,3.61,2.95,2.92,2.95,3.61,3.65,2.95,2.81,2.50,2.50,2.50,2.50,3.58,4.96,4.26,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.67,4.83,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Chile,1.11,1.25,1.32,2.19,2.92,2.99,3.09,3.16,3.33,3.33,2.92,2.92,3.26,3.40,2.54,2.07,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.92,2.67,2.50,2.67,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
China,3.57,3.20,2.57,2.50,2.50,2.12,2.08,2.22,2.85,2.71,2.40,2.22,3.13,2.19,0.17,0.37,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.92,1.00,1.21,1.50,1.50,1.50,1.75,2.25,2.50,2.50,2.50,2.50,2.50,2.50
Colombia,3.26,2.60,2.40,2.50,2.22,2.08,2.29,2.92,2.99,2.50,2.50,2.50,2.50,1.72,1.46,1.29,1.50,1.13,1.00,1.00,1.00,0.96,1.00,1.00,1.00,1.25,1.50,1.92,1.88,2.00,2.00,2.00,1.54,1.50,1.58,1.79,1.50,1.50,1.50
Congo,1.98,1.67,1.74,2.08,2.08,2.08,2.08,1.94,1.67,1.67,1.91,2.08,1.01,0.33,0.04,0.37,0.50,0.50,0.50,0.63,0.50,0.46,0.50,0.50,0.50,0.67,0.75,0.75,1.00,1.00,1.00,0.88,0.50,0.50,0.29,0.42,0.50,0.50,0.50
"Congo, DR",1.49,1.98,2.40,2.50,2.22,2.08,2.26,1.98,0.83,0.83,0.83,1.11,1.25,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Costa Rica,2.29,2.08,1.88,1.94,2.08,2.08,2.47,2.92,2.99,2.92,2.81,2.50,2.50,2.31,1.46,1.48,2.00,2.38,2.50,2.50,2.33,2.00,2.00,2.00,2.00,2.00,2.00,2.33,2.50,2.50,2.50,2.50,2.50,2.88,3.00,2.58,2.50,2.75,2.50
Cote d'Ivoire,2.64,2.92,2.78,2.71,2.36,2.67,2.22,2.85,2.60,2.50,2.08,2.08,2.08,1.77,0.04,0.33,0.50,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.50,0.50,0.50,0.50,0.50,0.50
Croatia,,,,,,,,,,,,,,,,1.89,2.50,2.50,2.50,2.50,2.50,3.00,3.00,3.00,2.92,2.63,2.79,3.00,3.00,3.00,2.96,2.58,3.00,3.00,3.00,3.00,3.00,2.75,3.00
Cuba,,2.40,2.05,1.67,1.67,1.67,1.67,1.39,1.25,1.25,1.25,1.91,2.71,2.24,1.00,0.81,1.50,1.50,1.50,1.50,1.17,1.13,1.00,1.00,1.42,1.50,1.88,1.54,1.75,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.50,2.29,2.17
Cyprus,,3.75,3.75,3.75,3.75,3.75,3.58,3.33,3.75,3.30,2.92,2.92,3.06,3.04,3.63,3.21,4.00,4.00,4.00,4.00,3.54,4.42,4.00,4.00,4.00,4.00,4.00,4.00,3.54,3.92,3.67,3.83,3.50,3.50,3.50,3.50,3.50,3.50,3.50
Czech Republic,,,,,,,,,,1.67,2.15,2.54,2.95,2.85,2.54,2.18,3.00,2.88,2.88,3.00,3.25,3.50,3.50,3.50,3.50,3.63,3.67,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50
Czechoslovakia,3.10,3.33,3.02,2.85,2.50,2.47,2.08,2.08,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,3.65,3.54,3.30,3.09,2.92,2.92,2.92,3.23,2.78,2.47,2.36,2.60,2.92,3.68,5.00,4.94,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
