Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,4.83,6.67,7.00,7.00,7.00,7.00,5.17,3.42,4.17,5.75,6.25,5.58,8.33,8.08,9.75,9.42,9.33,9.46,9.00,9.17,7.38,7.42,8.50,7.96,7.75,7.96,7.29,5.71,5.71,7.17,8.21,7.33,7.29,7.21,7.21,6.17,6.04,6.58,6.67
Algeria,7.42,8.67,9.00,8.83,8.75,7.75,8.00,7.08,4.50,4.25,5.75,6.33,8.67,10.50,10.50,10.00,9.83,8.17,8.58,8.08,8.75,9.79,9.58,9.42,9.00,9.75,9.83,6.67,5.88,6.00,7.00,7.33,6.92,6.67,6.54,6.38,6.92,6.58,7.46
Angola,5.33,6.83,6.17,6.00,6.00,6.00,6.00,6.00,4.17,4.58,5.00,5.67,7.83,8.92,10.25,10.58,11.00,10.75,9.63,9.75,10.00,10.00,9.63,9.50,9.83,10.50,10.25,8.75,8.17,8.38,7.08,6.92,6.54,6.83,7.17,7.58,7.50,7.25,6.83
Argentina,4.75,4.25,5.75,5.17,4.25,4.58,4.58,5.58,6.42,6.25,7.67,7.50,7.67,7.58,9.33,10.00,10.33,8.21,5.33,6.83,8.63,8.54,10.17,9.83,7.17,5.88,5.67,7.38,7.33,5.08,5.33,7.13,7.38,7.33,6.21,6.38,6.92,5.38,5.25
Armenia,,,,,,,,,,,,,,,,10.25,8.75,7.50,7.00,8.29,8.63,7.88,8.38,8.54,9.29,9.17,7.96,7.33,7.29,7.79,6.00,5.13,5.92,7.33,7.71,9.63,8.42,6.46,6.50
Australia,9.83,7.75,6.42,6.25,7.58,6.92,6.58,5.42,6.33,6.50,6.67,7.58,10.00,10.83,9.08,10.58,10.92,8.96,10.00,10.00,9.46,10.04,10.29,9.21,10.46,10.50,8.46,5.13,5.21,6.71,6.42,6.58,6.92,6.00,5.83,6.71,7.71,7.63,7.50
Austria,9.33,7.08,7.17,8.83,8.00,8.00,8.00,8.75,10.00,9.42,7.75,5.58,8.33,9.58,9.75,9.00,8.92,9.00,7.63,8.75,8.21,7.54,6.96,7.75,7.46,9.50,8.96,7.54,6.63,6.50,6.71,6.50,5.88,6.71,6.92,6.38,6.96,5.63,5.00
Azerbaijan,,,,,,,,,,,,,,,,10.08,9.50,9.83,9.29,8.71,9.50,9.50,9.50,9.33,9.58,10.00,10.00,10.00,9.08,9.00,9.00,7.75,7.54,7.50,7.50,7.63,9.46,9.88,9.50
Bahamas,,5.00,5.00,4.92,5.00,5.00,5.00,5.00,4.92,5.42,6.00,6.75,7.58,9.58,10.00,10.75,11.00,11.00,11.00,11.00,11.00,11.00,11.00,9.50,9.00,9.00,9.00,8.63,7.63,8.04,8.00,8.00,8.00,8.58,8.75,8.21,8.46,9.00,9.71
Bahrain,5.00,5.00,5.00,5.00,5.17,6.00,6.00,6.00,8.00,8.00,8.00,6.67,7.42,9.75,10.00,9.58,11.00,11.00,11.21,11.21,11.00,10.67,10.33,8.00,8.00,8.00,8.00,6.38,6.00,6.29,6.67,7.83,7.50,7.42,7.04,7.50,7.88,8.00,8.00
