Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,,,,,,,,,,,,,7.78,4.29,4.13,8.08,9.83,9.50,9.00,8.50,8.88,9.67,9.50,9.04,9.00,9.67,9.42,8.67,8.92,9.25,9.50,9.50,9.50,9.33,9.04,9.50,9.50,9.50,8.75
Algeria,4.00,4.00,4.00,6.29,6.50,6.17,6.42,5.58,3.50,3.75,4.25,4.00,4.50,5.92,8.25,7.67,8.17,8.08,8.17,8.96,9.04,8.54,9.08,8.96,8.50,8.50,8.50,8.50,8.29,8.42,9.08,8.92,8.50,8.25,8.50,8.75,9.29,8.75,7.75
Angola,,,,,,,,,,,,,0.00,0.00,0.33,1.58,1.33,0.88,0.88,0.50,1.88,3.25,6.13,7.46,6.96,6.50,6.50,5.67,6.58,7.29,7.50,7.42,5.00,4.50,4.63,4.75,4.50,4.46,4.50
Argentina,0.00,0.00,0.00,1.83,0.00,0.00,0.00,0.33,2.54,6.08,8.04,8.17,9.54,10.00,10.00,10.00,10.00,10.00,5.38,4.63,7.79,7.50,7.13,7.29,5.79,7.00,7.25,7.00,7.00,7.00,4.42,4.58,4.17,4.25,4.33,2.75,3.21,2.83,2.50
Armenia,,,,,,,,,,,,,,,4.89,9.00,8.75,8.29,8.50,8.67,8.58,8.00,8.00,8.92,8.67,9.13,9.00,8.00,8.33,8.42,8.17,8.67,9.00,9.00,8.67,9.63,10.00,8.96,8.13
Australia,8.00,7.83,7.50,7.79,7.88,8.13,8.00,8.00,8.54,9.04,9.42,8.96,8.83,9.92,10.00,9.33,9.38,8.92,8.88,9.50,9.50,9.50,9.29,9.46,9.00,9.33,9.67,8.67,9.04,9.29,9.33,9.33,10.00,9.58,9.50,9.75,10.00,9.75,9.00
Austria,8.50,8.50,9.00,9.00,9.21,9.00,9.00,8.33,8.50,8.50,9.25,9.00,9.42,9.92,10.00,10.00,9.96,9.67,9.75,10.00,9.88,10.00,10.00,10.00,9.79,9.63,9.50,9.29,9.00,9.17,9.71,9.92,10.00,9.58,9.71,9.75,10.00,9.83,9.08
Azerbaijan,,,,,,,,,,,,,,,,8.50,8.50,8.75,9.63,9.17,9.17,8.50,7.46,6.13,5.17,6.67,9.42,8.08,8.21,8.92,9.42,9.92,6.83,7.04,8.42,9.33,9.13,8.79,7.25
Bahamas,,8.50,8.50,8.50,8.00,8.00,8.50,8.50,8.50,8.50,8.50,8.75,9.42,10.00,10.00,10.00,9.71,9.50,9.50,9.50,9.79,10.00,10.00,9.54,9.50,9.17,9.92,10.00,9.63,9.50,9.50,9.50,9.79,10.00,9.71,9.21,9.38,9.50,9.42
Bahrain,,8.50,9.00,9.92,10.00,10.00,9.71,9.50,9.50,9.21,9.13,9.00,9.00,9.50,9.92,9.50,9.50,9.50,9.50,9.50,9.50,9.50,9.88,10.00,9.58,9.21,9.00,9.00,9.00,9.33,9.50,9.50,8.75,9.25,9.54,9.50,9.58,9.54,10.00
Bangladesh,6.58,5.96,7.00,7.00,6.42,6.00,6.00,6.33,7.50,7.92,7.50,8.08,8.42,8.83,8.25,8.88,7.50,7.83,8.79,8.71,8.50,8.04,8.00,8.00,8.00,8.29,7.92,7.63,7.25,7.58,8.00,8.00,8.04,8.25,8.25,8.50,8.50,8.50,8.17
Belarus,,,,,,,,,,,,,,,3.06,0.46,0.38,2.50,3.75,3.67,4.63,6.00,6.33,6.50,6.50,6.50,7.13,6.71,4.13,3.92,5.17,5.50,8.88,7.08,7.38,8.25,8.50,8.50,7.00
