Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,10.00,10.00,10.00,10.00,10.00,10.00,10.00,8.25,8.75,9.92,11.92,12.00,11.33,8.00,8.08,9.00,8.58,8.33,8.92,11.00,10.08,10.00,10.04,10.50,10.50,10.38,10.00,9.50,9.50,9.75,9.92,9.00,9.29,9.50,9.46,9.21,9.33,9.63,9.21
Algeria,9.42,9.00,9.00,9.17,9.83,9.00,9.08,8.17,5.33,5.25,4.58,3.67,3.25,2.58,2.00,3.58,4.92,4.83,4.88,4.50,7.29,8.46,8.88,8.46,8.50,8.38,8.46,7.67,7.63,7.50,7.50,7.83,7.54,7.83,7.79,6.88,7.42,7.25,7.38
Angola,2.67,2.17,2.00,2.00,2.42,3.25,3.00,3.00,5.08,1.58,1.17,5.92,7.00,6.33,2.92,1.33,5.67,6.50,7.25,9.04,8.08,7.96,9.25,9.13,8.79,9.00,9.00,8.67,8.63,8.50,8.50,8.83,8.67,8.63,8.88,8.58,8.46,8.42,8.21
Argentina,6.17,8.00,8.00,8.00,8.00,8.50,10.00,10.00,10.00,11.33,12.00,12.00,12.00,11.17,10.00,9.17,9.25,9.58,8.21,9.25,9.50,9.83,10.00,10.00,9.88,10.00,9.58,9.33,8.96,8.67,8.54,8.75,9.21,8.88,9.00,8.88,9.08,8.79,9.00
Armenia,,,,,,,,,,,,,,,,8.83,8.00,7.33,8.00,8.50,9.29,8.67,8.63,10.00,9.58,10.00,10.00,9.42,9.00,9.13,9.00,9.04,9.08,9.00,9.21,9.17,8.92,8.79,8.38
Australia,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,10.33,10.50,11.00,11.00,11.50,10.04,10.00,9.75,9.29,9.50,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.50,9.50,9.58,10.00,10.46,10.13,9.92,9.67
Austria,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,10.17,11.50,12.00,11.63,11.50,11.50,11.50,11.50,11.50,11.50,11.46,11.29,11.00,11.00,11.00,10.83,9.58,9.50,9.50,9.50,9.50,9.42,9.04
Azerbaijan,,,,,,,,,,,,,,,,8.00,8.00,8.00,7.58,9.21,9.58,10.04,9.04,9.46,9.00,9.00,9.00,9.29,8.96,8.54,8.50,8.50,8.50,8.50,9.00,9.29,9.50,9.42,9.08
Bahamas,,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.17,11.17,12.00,12.00,12.00,11.75,11.00,11.00,11.00,11.00,11.00,10.54,10.79,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,10.92,10.75,10.50,10.50,10.25,10.42,10.50,10.50
Bahrain,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.83,10.00,12.00,12.00,12.00,9.50,8.58,8.00,8.00,8.00,9.54,10.71,9.83,9.21,9.13,8.58,9.29,10.00,10.00,9.79,8.96,8.58,7.29,7.00,7.00,6.50,6.50,6.67,7.00,7.92,8.96,9.00
Bangladesh,4.67,4.00,4.00,4.00,4.00,4.00,4.00,4.00,6.58,9.50,10.00,10.00,10.42,10.42,9.50,7.00,6.58,6.33,7.67,7.17,6.29,5.75,5.54,5.58,6.67,7.25,7.25,7.04,7.00,7.00,7.00,7.00,7.46,6.63,6.71,7.33,7.33,7.50,7.08
Belarus,,,,,,,,,,,,,,,9.00,8.42,7.08,7.75,8.33,10.00,10.38,10.13,9.71,10.00,10.00,10.00,10.00,8.50,8.54,9.00,9.00,8.96,9.00,8.83,9.00,9.00,8.75,9.04,9.08
Belgium,10.00,8.42,8.17,9.00,9.00,10.17,11.00,11.00,11.08,12.00,12.00,12.00,12.00,12.00,12.00,11.92,11.42,11.00,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.33,10.92,10.63,10.63,9.08,8.88,9.25,9.92,9.88,10.00,9.92,9.58
Bolivia,2.92,4.00,4.83,5.00,5.00,5.00,5.00,5.00,5.00,5.83,6.17,7.25,6.75,8.08,8.83,8.00,7.67,9.25,8.75,8.75,8.50,7.04,6.46,7.08,9.08,9.50,9.50,9.50,9.25,9.38,9.63,9.33,9.00,9.00,8.54,8.50,8.83,9.13,9.42
Botswana,,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,11.00,12.00,12.00,12.00,12.00,12.00,12.00,11.92,11.08,10.71,10.50,10.50,10.50,10.50,10.50,10.88,11.00,10.71,10.50,10.71,10.58,10.83,10.71,10.71,10.63,10.54,11.00,11.00,11.00
Brazil,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.67,9.00,8.33,8.25,9.00,9.08,9.00,9.00,8.96,8.67,10.38,10.50,10.50,10.25,10.00,10.00,10.00,9.71,9.50,9.96,9.42,8.58,8.75,8.75,8.75,8.71,9.58,9.50,9.04,9.08
Brunei,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,11.67,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,11.54,11.79,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,11.17,10.50,10.58,10.75,11.00,11.00,11.00,11.00,11.00
Bulgaria,12.00,10.83,10.00,10.00,10.08,11.00,11.00,10.92,11.08,12.00,12.00,12.00,12.00,12.00,12.00,10.75,10.00,10.25,11.00,11.00,10.67,10.50,11.00,10.92,10.50,10.00,10.00,10.21,10.00,9.63,9.50,9.96,10.17,10.13,10.50,10.46,9.92,9.50,9.50
Burkina Faso,,10.00,10.00,10.00,8.75,5.67,4.00,4.00,4.00,4.67,6.00,6.00,6.00,6.00,8.00,7.50,7.08,8.96,10.00,10.25,9.38,9.25,10.00,9.79,9.75,10.00,9.42,7.92,7.67,7.63,7.50,7.21,7.42,7.00,7.17,6.63,6.00,6.29,6.08
Cameroon,4.58,4.83,5.00,5.00,5.00,5.00,5.00,4.50,4.67,5.00,6.75,8.00,7.42,6.42,6.58,8.00,7.17,8.88,8.21,8.46,8.79,9.58,9.88,9.63,9.96,10.00,10.00,9.63,8.54,8.50,8.04,7.50,7.58,7.21,6.21,6.33,6.38,6.08,6.13
Canada,10.00,10.00,10.00,10.00,11.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,10.33,10.00,10.00,11.50,12.00,12.00,11.63,11.50,10.96,10.50,10.50,10.83,11.00,11.00,11.00,10.71,10.42,10.00,10.00,10.00,10.00,10.17,10.50,10.50,10.46
Chile,6.58,4.00,3.50,3.00,3.00,4.00,7.00,7.00,7.00,8.67,10.75,11.92,12.00,11.67,10.17,9.00,9.00,9.67,9.58,10.71,11.38,11.50,11.25,10.67,10.29,9.75,8.50,8.38,8.08,8.46,8.67,8.42,8.17,8.38,9.08,9.63,9.38,9.63,9.46
China,10.14,10.00,10.00,10.00,10.58,10.42,10.00,10.00,11.17,11.92,11.00,11.00,11.17,10.92,10.00,10.00,10.00,10.08,10.71,11.33,11.38,10.33,10.00,10.25,9.63,9.33,9.25,8.79,8.83,8.50,7.42,7.00,7.08,7.58,8.00,8.46,8.88,9.00,8.92
Colombia,6.58,6.00,5.00,4.50,4.00,4.25,5.00,5.00,5.00,5.75,6.83,7.58,7.67,5.42,3.75,4.42,5.33,4.46,3.42,3.46,4.96,5.79,5.50,5.50,5.96,6.25,6.83,6.29,5.58,6.42,7.29,7.33,8.33,8.92,8.79,7.88,6.83,6.46,6.79
