Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,5.00,5.17,6.00,6.00,6.00,6.00,6.00,4.33,2.00,2.83,4.50,5.00,6.58,6.00,5.33,4.42,6.00,7.13,7.54,8.00,8.00,8.00,8.00,8.17,8.50,8.50,8.50,8.50,7.92,7.00,7.00,7.08,7.67,8.00,7.83,7.88,7.58,7.54,8.29
Algeria,7.42,8.75,7.83,6.33,6.75,5.00,3.67,4.58,5.67,5.33,5.00,5.42,6.67,7.25,6.00,6.00,6.92,7.96,8.46,8.00,8.08,9.17,9.08,8.50,8.29,8.00,7.75,7.50,7.50,8.33,8.50,8.50,7.29,6.75,6.50,6.63,6.38,6.50,7.29
Angola,6.00,5.42,5.58,5.58,7.00,7.00,7.00,6.50,4.92,3.33,2.42,3.58,4.00,4.42,4.00,2.17,2.00,6.13,8.08,8.38,8.00,7.88,7.88,8.00,8.00,8.00,8.00,7.83,7.50,7.92,7.83,6.75,6.50,6.13,7.29,8.38,7.92,8.13,8.67
Argentina,3.33,3.67,3.33,4.17,4.25,4.42,4.75,5.67,6.83,6.08,6.75,6.00,6.00,6.83,8.00,7.17,6.83,7.54,4.58,5.17,5.50,6.54,6.63,6.50,6.38,5.50,5.08,6.17,6.00,6.17,6.21,6.25,7.79,8.00,7.38,7.50,6.42,6.54,6.67
Armenia,,,,,,,,,,,,,,,,4.58,4.00,7.00,8.00,8.00,8.00,8.00,8.04,8.50,8.50,8.50,8.50,8.50,8.21,8.00,7.50,7.50,7.50,7.50,7.96,8.50,7.92,8.00,6.75
Australia,9.00,8.83,7.17,6.00,6.00,5.00,4.00,4.83,5.17,5.00,5.50,6.33,6.00,7.58,8.00,10.00,10.00,10.17,10.25,10.38,11.63,12.00,12.00,12.00,12.00,12.00,11.25,10.50,10.50,10.67,11.21,12.00,12.00,12.00,11.75,11.50,11.25,12.00,12.00
Austria,10.17,9.00,9.00,9.00,8.50,8.75,8.58,8.75,9.00,8.42,6.17,6.00,7.17,8.42,9.00,9.00,9.17,11.50,12.00,12.00,12.00,12.00,12.00,12.00,12.00,12.00,11.46,11.17,8.67,8.00,9.13,9.50,9.50,9.50,9.50,9.50,9.79,10.50,10.33
Azerbaijan,,,,,,,,,,,,,,,,7.00,8.50,8.50,8.83,8.88,7.54,9.08,9.50,9.50,9.50,9.50,9.50,9.50,8.92,8.50,8.50,6.29,6.33,6.42,6.96,7.63,7.46,8.00,8.50
Bahamas,,8.00,8.00,8.08,8.00,8.00,8.00,8.00,7.92,6.17,6.00,6.00,6.42,8.25,10.00,10.00,10.00,11.13,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.08,10.50,10.50,10.67,11.00,10.25,9.50,9.00,9.58,9.50,7.79
Bahrain,6.83,6.58,6.00,6.00,5.42,5.00,4.92,4.92,6.00,6.00,6.00,6.00,6.00,7.25,9.00,9.00,9.00,10.88,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.50,11.08,10.50,10.29,9.29,9.50,8.83,8.17,7.67,7.83,7.54,7.71,8.13
Bangladesh,5.67,5.00,5.00,5.00,4.08,3.17,3.33,3.83,5.25,5.00,5.00,5.00,5.00,6.00,5.92,6.00,6.00,7.42,5.17,5.75,6.50,6.96,7.13,6.75,7.00,7.00,7.00,6.71,6.00,6.00,6.04,6.58,6.83,7.13,7.04,7.17,7.29,7.46,6.92
Belarus,,,,,,,,,,,,,,,5.00,4.50,4.00,4.92,5.50,5.50,5.50,5.50,5.50,5.50,6.54,8.00,8.00,6.75,6.50,6.50,6.50,6.50,6.79,6.83,7.50,7.88,7.58,7.50,5.58
Belgium,9.92,9.00,9.75,9.42,8.08,7.58,7.50,7.25,6.50,5.92,5.25,6.67,7.50,8.42,9.00,9.00,9.00,11.25,11.54,11.50,11.50,11.50,11.50,11.50,11.25,10.50,10.17,9.50,7.92,8.00,8.00,8.00,8.58,9.00,9.21,9.50,9.71,10.00,9.71
Bolivia,3.33,1.17,1.50,3.17,5.67,5.00,5.58,6.50,7.00,6.17,6.00,6.00,6.42,8.67,10.25,10.00,10.00,9.83,9.38,9.50,8.63,6.67,3.96,3.00,3.96,5.00,5.00,5.00,5.00,5.00,5.29,6.50,6.46,6.42,6.50,6.50,6.50,6.50,6.83
Botswana,,7.67,8.67,9.00,8.83,8.00,8.00,7.17,7.92,6.42,6.00,6.00,6.00,8.25,11.00,11.00,11.00,11.04,11.25,11.50,11.50,11.50,10.58,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.50,10.33,9.50,8.96,9.00,9.04,9.29
Brazil,4.00,5.42,5.58,5.67,6.17,5.50,6.25,4.92,6.67,5.33,5.67,5.17,5.00,6.00,7.33,5.08,5.83,8.17,7.92,7.54,7.71,7.50,7.50,7.50,7.29,7.00,7.08,7.83,7.58,7.50,7.58,7.25,7.00,7.50,7.50,8.42,8.75,9.00,9.00
