Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,4.67,4.00,4.00,4.00,4.00,4.00,4.00,2.83,2.08,3.33,4.67,4.67,4.00,2.83,3.00,2.42,2.00,2.00,2.00,2.00,2.00,2.21,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.71,3.00,3.00,2.58,2.96
Algeria,2.00,2.00,2.00,2.08,2.75,2.00,2.17,1.42,1.42,2.00,3.00,3.00,3.00,3.00,2.08,2.00,2.00,2.00,2.00,2.00,2.42,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
Angola,2.00,2.00,2.00,2.00,2.00,2.00,1.17,1.00,1.25,1.00,1.42,2.00,2.00,2.58,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50
Argentina,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.08,4.00,4.75,5.00,5.00,5.00,5.00,5.00,5.00,4.67,2.63,1.50,2.63,3.00,2.50,2.50,2.50,2.50,2.50,2.50,2.42,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Armenia,,,,,,,,,,,,,,,,3.17,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.42,3.50,3.50
Australia,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5.88,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50,5.50
Austria,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00
Azerbaijan,,,,,,,,,,,,,,,,4.08,4.00,4.00,4.00,4.00,4.00,3.63,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50
Bahamas,,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.29,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.08,4.00,4.00,4.00,4.00,4.00,4.00
Bahrain,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,5.75,6.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.71,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50
Bangladesh,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.08,3.00,3.00,3.00,3.00,3.25,3.00,2.08,2.00,1.50,1.17,1.04,2.00,2.50,2.63,2.50,2.50,2.33,2.00,2.00,2.00,2.00,2.00,2.00,2.08,2.00,2.00,2.00,2.00,2.08
Belarus,,,,,,,,,,,,,,,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.58,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.04,2.67
Belgium,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5.67,5.17,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
Bolivia,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.75,2.00,2.17,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.96,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.29,2.00,2.00
Botswana,,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.50,4.00,4.00,4.00,4.00,3.83,3.50,3.50,3.63,4.00,4.00,3.92,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50
Brazil,3.58,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.75,3.00,3.00,3.00,2.67,2.00,2.00,2.00,2.00,1.75,1.50,2.08,2.50,2.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.33,3.00,2.58,2.50
