Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,7.00,7.00,7.00,7.00,7.00,7.00,6.50,4.17,2.00,3.75,5.33,6.00,5.67,3.17,2.00,2.00,2.00,3.00,3.63,4.00,4.00,4.88,5.50,5.50,5.50,5.42,5.00,5.00,5.00,5.00,5.00,5.21,4.96,5.50,5.29,5.50,5.25,5.42,5.67
Algeria,7.33,7.75,7.17,6.50,6.00,3.92,5.42,6.25,4.75,5.92,6.00,5.17,5.58,4.00,4.00,3.08,3.00,3.67,4.00,4.00,4.67,5.42,5.75,6.00,5.50,5.00,5.00,5.00,5.00,5.00,5.42,5.50,5.50,5.63,5.88,6.13,5.54,5.38,5.88
Angola,7.00,6.00,6.33,6.17,6.00,6.42,6.17,6.00,4.50,2.17,2.42,4.00,3.67,2.00,2.00,2.00,2.00,2.67,2.58,2.00,3.75,3.00,2.17,2.50,2.54,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.88,2.58,2.92,2.50,3.54,4.58
Argentina,4.00,3.83,4.08,4.42,4.25,4.50,4.50,5.75,6.17,6.67,6.25,5.75,6.75,6.00,6.00,6.00,5.00,5.25,2.46,2.13,3.08,4.83,5.21,5.38,5.08,5.00,5.17,5.08,5.00,5.00,5.00,5.04,5.42,6.50,6.04,6.46,5.58,4.50,4.79
Armenia,,,,,,,,,,,,,,,,3.00,3.00,4.33,5.00,5.00,4.75,4.00,4.00,4.00,4.00,3.67,4.33,5.46,6.00,5.08,5.00,4.83,4.50,4.88,5.50,5.71,5.21,4.54,4.00
Australia,8.08,8.58,7.58,5.33,6.08,6.67,5.67,5.17,5.83,6.08,6.25,6.58,6.58,8.00,8.00,8.67,9.92,9.33,9.25,9.54,10.00,9.79,9.67,10.29,9.21,9.38,10.00,9.33,9.04,9.17,9.08,8.54,9.13,9.25,9.17,9.25,8.96,9.79,9.83
Austria,10.00,10.75,9.25,9.33,8.00,8.00,8.00,8.00,8.75,7.67,6.17,6.83,7.08,8.00,8.00,8.50,10.00,10.00,10.33,10.50,9.38,8.38,8.21,8.50,9.25,9.04,9.50,10.08,10.00,9.54,9.13,8.92,8.38,9.25,9.33,9.04,8.63,9.00,9.00
Azerbaijan,,,,,,,,,,,,,,,,2.00,2.00,3.83,5.50,6.46,7.96,8.00,8.00,8.00,7.92,7.92,8.00,8.00,8.00,8.00,7.83,7.50,7.50,6.63,8.04,8.58,7.79,7.21,7.00
Bahamas,,8.00,8.00,8.00,8.00,8.00,8.00,8.00,7.92,5.33,5.00,5.00,5.42,6.00,6.00,6.00,6.00,6.67,7.00,7.00,7.29,7.50,7.50,7.50,7.50,7.50,5.67,5.33,5.00,5.38,5.50,5.50,5.50,5.50,5.50,5.71,5.96,6.38,6.46
Bahrain,6.00,6.00,6.00,6.00,5.67,4.00,3.67,3.75,6.00,6.75,7.00,6.33,6.00,6.00,6.00,6.00,6.00,7.33,8.00,8.00,8.00,8.00,8.00,8.50,7.67,7.00,7.00,7.00,7.00,7.00,7.00,6.50,6.50,6.50,6.88,7.00,7.50,8.00,8.00
Bangladesh,4.17,4.50,4.00,3.75,4.00,3.00,3.67,3.67,5.75,6.00,6.00,5.33,4.17,3.00,2.42,2.00,2.00,2.33,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.29,2.00,2.00,2.00,2.17,2.67,2.96,2.75,4.21,4.88,5.17,5.71,6.04
Belarus,,,,,,,,,,,,,,,3.00,2.75,2.00,2.33,2.50,2.50,4.17,5.00,5.38,5.50,5.46,5.00,5.00,4.71,4.00,4.00,4.00,4.00,4.00,4.50,6.29,6.00,6.04,6.00,6.00
Belgium,8.33,9.00,9.00,8.42,7.75,7.67,6.83,7.42,6.92,6.00,5.92,6.75,6.58,6.00,6.00,6.00,6.00,9.00,9.96,9.50,9.25,8.38,8.50,8.50,8.29,8.42,8.71,7.96,7.50,7.92,8.58,8.75,8.63,9.21,8.79,8.58,8.71,9.54,9.04
